titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Mercedes Benz S450 Long 4Matic Impozit 0,51 900 €,51900.0,2018,109 000,https://www.olx.ro/d/oferta/mercedes-benz-s450-long-4matic-impozit-0-IDjHbOa.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/b9yndzt3esx22-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/ej5a0h4uv93o3-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/ccqlpdx50i2u3-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/wk6jfg2qk1cq2-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/1rbsw02p6afx2-RO/image;s=768x1024,petrol,automatic,Berlina,Unknown,Unknown,olx_jHbOa,2025-09-15T02:30:45.135025
Mercedes A Mbux Burmester Keyless Distronic Camera Led Clima Istoric,"24 500 €
Prețul e negociabil",24500.0,2020,43 000,https://www.olx.ro/d/oferta/mercedes-a-mbux-burmester-keyless-distronic-camera-led-clima-istoric-IDjKNfu.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wgfycw78uf82-RO/image;s=1364x766;https://frankfurt.apollo.olxcdn.com:443/v1/files/lfr3d7z9zqw72-RO/image;s=1364x766;https://frankfurt.apollo.olxcdn.com:443/v1/files/1vgs8p4s4won2-RO/image;s=1364x766;https://frankfurt.apollo.olxcdn.com:443/v1/files/qju895l8069f-RO/image;s=1364x766;https://frankfurt.apollo.olxcdn.com:443/v1/files/cdx238wt25zp1-RO/image;s=1364x766,petrol,automatic,Berlina,Unknown,Unknown,olx_jKNfu,2025-09-15T02:30:51.822742
Mercedes Benz Cls53 Amg 4Matic 435 Cp Burmester 360 Ventilatie Masaj,"49 900 €
Prețul e negociabil",49900.0,2019,70 580,https://www.olx.ro/d/oferta/mercedes-benz-cls53-amg-4matic-435-cp-burmester-360-ventilatie-masaj-IDjOhgh.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/md7747arl57t1-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/nqa12rv5abns-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/uy5e7u8dna011-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/vyg1r45kr3ox1-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/gzl914mbxrdd1-RO/image;s=719x1000,petrol,N/A,Berlina,MG,Unknown,olx_jOhgh,2025-09-15T02:31:06.554657
Vand Mercedes C 300 Amg Mild Hybrid,43 800 €,43800.0,2023,27 000,https://www.olx.ro/d/oferta/vand-mercedes-c-300-amg-mild-hybrid-IDigv2z.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/zsolxhwybbuu-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/sqvnlpojmnjy2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/x0ky2vgx1pmq-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/kwxrzsmvizki2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/4jjfqu2cac5g-RO/image;s=750x1000,petrol,automatic,Berlina,MG,Unknown,olx_igv2z,2025-09-15T02:31:13.861227
Mercedes Benz C 180 Primul Proprietar Service Doar La Autoklass,"18 500 €
Prețul e negociabil",18500.0,2018,144 000,https://www.olx.ro/d/oferta/mercedes-benz-c-180-primul-proprietar-service-doar-la-autoklass-IDjJAmx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/o2wuehajlub93-RO/image;s=2100x1576;https://frankfurt.apollo.olxcdn.com:443/v1/files/c11hhiadxgdb2-RO/image;s=2100x1576;https://frankfurt.apollo.olxcdn.com:443/v1/files/b29hu47b5vog1-RO/image;s=2100x1576;https://frankfurt.apollo.olxcdn.com:443/v1/files/63osqx9qvv4h1-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/6yav1koyllgd1-RO/image;s=2100x1576,petrol,automatic,Berlina,Unknown,Unknown,olx_jJAmx,2025-09-15T02:31:28.921061
Mercedes Amg Gt53,68 000 €,68000.0,2021,150 000,https://www.olx.ro/d/oferta/mercedes-amg-gt53-IDjLygY.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/6wi0dkbxslia1-RO/image;s=1000x666;https://frankfurt.apollo.olxcdn.com:443/v1/files/tdz6hnlzae5l2-RO/image;s=746x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/h1bqwmoqxhc82-RO/image;s=743x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/dc9jktuvod1j3-RO/image;s=746x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/2skm56v5lgh6-RO/image;s=746x1000,petrol,automatic,Berlina,MG,Unknown,olx_jLygY,2025-09-15T02:31:43.983007
Mercedes Benz A180 Pachet Amg,21 900 €,21900.0,2020,146 000,https://www.olx.ro/d/oferta/mercedes-benz-a180-pachet-amg-IDjMEgs.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ixzmr17wjlxh2-RO/image;s=2000x1126;https://frankfurt.apollo.olxcdn.com:443/v1/files/60377iir9pn8-RO/image;s=1126x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/etn84nfw9bdj1-RO/image;s=2000x1126;https://frankfurt.apollo.olxcdn.com:443/v1/files/48yx9nv2qp6v1-RO/image;s=2000x1126;https://frankfurt.apollo.olxcdn.com:443/v1/files/64zoefwgdq422-RO/image;s=2000x1126,petrol,automatic,Berlina,MG,Unknown,olx_jMEgs,2025-09-15T02:31:50.828926
Mercedes Benz E300 Amg,"29 900 €
Prețul e negociabil",29900.0,2019,149 000,https://www.olx.ro/d/oferta/mercedes-benz-e300-amg-IDjLXqi.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/92hi5tc7i3jv2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/v5gehmhzcabb1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/eyhkw8tqdij33-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/c5pvl18vdadl3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xhvlny83f5ds-RO/image;s=750x1000,petrol,automatic,Berlina,MG,Unknown,olx_jLXqi,2025-09-15T02:32:05.528969
Mercedes Benz E300 Amg,"29 900 €
Prețul e negociabil",29900.0,2019,149 000,https://www.olx.ro/d/oferta/mercedes-benz-e300-amg-IDjLXqi.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/92hi5tc7i3jv2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/v5gehmhzcabb1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/eyhkw8tqdij33-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/c5pvl18vdadl3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xhvlny83f5ds-RO/image;s=750x1000,petrol,automatic,Berlina,MG,Unknown,olx_jLXqi,2025-09-15T02:32:13.835514
Vand Mercedes C 300 Amg Mild Hybrid,43 800 €,43800.0,2023,27 000,https://www.olx.ro/d/oferta/vand-mercedes-c-300-amg-mild-hybrid-IDigv2z.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/zsolxhwybbuu-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/sqvnlpojmnjy2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/x0ky2vgx1pmq-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/kwxrzsmvizki2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/4jjfqu2cac5g-RO/image;s=750x1000,petrol,automatic,Berlina,MG,Unknown,olx_igv2z,2025-09-15T02:32:29.381772
