titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi Q5 S Line Tfsie Plug In Quattro Panoramic 367Cp 2020 05,"24 990 €
Prețul e negociabil",24990.0,2020,165 000,https://www.olx.ro/d/oferta/audi-q5-s-line-tfsie-plug-in-quattro-panoramic-367cp-2020-05-IDjNIWn.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/i5wyfevrej0e1-RO/image;s=905x1304;https://frankfurt.apollo.olxcdn.com:443/v1/files/7d3s6sxh03vn3-RO/image;s=920x1233;https://frankfurt.apollo.olxcdn.com:443/v1/files/a5lp8cm1hgit1-RO/image;s=920x1268;https://frankfurt.apollo.olxcdn.com:443/v1/files/z6dpxuqmgp4b1-RO/image;s=920x1234;https://frankfurt.apollo.olxcdn.com:443/v1/files/dltrhk6a3nb02-RO/image;s=768x1024,N/A,N/A,SUV,Audi,Q5,olx_jNIWn,2025-09-18T18:25:54.916680
Audi A7 5 5Tfsi Mild Hybrid 2019 3X S Line,38 999 €,38999.0,2019,197 000,https://www.olx.ro/d/oferta/audi-a7-5-5tfsi-mild-hybrid-2019-3x-s-line-IDjOZEV.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/s7ferjimrtwj-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/hjv49bptyiyc-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/572e0nnf0h652-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/c167crspwypt2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8grzlx38mr761-RO/image;s=1000x750,petrol,automatic,Berlina,Audi,A7,olx_jOZEV,2025-09-18T18:26:24.010464
Audi A6 C8 Sep 2022 Quattro 204Cp Sline Exterior,27 600 €,27600.0,2022,137 000,https://www.olx.ro/d/oferta/audi-a6-c8-sep-2022-quattro-204cp-sline-exterior-IDjviy6.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vurkzdn9881m1-RO/image;s=1632x1224;https://frankfurt.apollo.olxcdn.com:443/v1/files/v2hvowmjcmn82-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/ykuu4f2msrdm1-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/atlrcr68vhuq-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/wskvq4ml3y5n1-RO/image;s=1024x768,diesel,automatic,Break,Audi,A6,olx_jviy6,2025-09-18T18:26:47.303767
Audi Q8 S Line Mild Hybrid 5 0Tdi Quattro Foarte Intretinut,"54 000 €
Prețul e negociabil",54000.0,2020,136 000,https://www.olx.ro/d/oferta/audi-q8-s-line-mild-hybrid-5-0tdi-quattro-foarte-intretinut-IDjK1j9.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/kqnrp2lyw2fj1-RO/image;s=1992x1492;https://frankfurt.apollo.olxcdn.com:443/v1/files/5xqreds714mp-RO/image;s=1992x1492;https://frankfurt.apollo.olxcdn.com:443/v1/files/80rud2j3g5f73-RO/image;s=1992x1492;https://frankfurt.apollo.olxcdn.com:443/v1/files/ad9kr0i4wznx1-RO/image;s=1992x1492;https://frankfurt.apollo.olxcdn.com:443/v1/files/w8mscj4z957t-RO/image;s=1992x1492,diesel,automatic,SUV,Audi,Q8,olx_jK1j9,2025-09-18T18:26:54.648851
Audi A6 An 2017 2 0 Tdi,16 600 €,16600.0,2017,185 000,https://www.olx.ro/d/oferta/audi-a6-an-2017-2-0-tdi-IDjv9yx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/i95rhk74w6o71-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/raohzkndbl46-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/ne39lhq2770e1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/3f49p3kn67913-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/hot4ilnsdf7c2-RO/image;s=1280x960,diesel,automatic,Break,Audi,A6,olx_jv9yx,2025-09-18T18:27:02.616445
Audi Q7 50 Tdi Quattro S Line,"73 900 €
Prețul e negociabil",73900.0,2024,6 900,https://www.olx.ro/d/oferta/audi-q7-50-tdi-quattro-s-line-IDjOePC.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/rw99bili6ric2-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/5j0g85405jhj3-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/mizvmg97c9191-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/4ujzmm9o3wk71-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/ve0tyfuxvn9h2-RO/image;s=1200x1600,hybrid,automatic,"""Pascani""}}}",Audi,Q7,olx_jOePC,2025-09-18T18:27:17.927514
Vand Audi Q5 S Line,"26 500 €
Prețul e negociabil",26500.0,2017,196 300,https://www.olx.ro/d/oferta/vand-audi-q5-s-line-IDjOVHV.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/5mzyq5ed3ipl2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/s09gmxxvxod31-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/10l32o7t403n1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/n4mtm1rugcr92-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xi5o8kcny6k3-RO/image;s=1000x750,electric,automatic,SUV,Audi,Q5,olx_jOVHV,2025-09-18T18:27:25.632125
Audi A6 Fab 2017 3 0 Quattro 218 Cp Facelift Ultra Euro 6,"18 999 €
Prețul e negociabil",18999.0,2017,192 000,https://www.olx.ro/d/oferta/audi-a6-fab-2017-3-0-quattro-218-cp-facelift-ultra-euro-6-IDjBwr4.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/n9b0sae74q6a2-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/kt191lrcluq61-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/sb8vw6lywuye-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/dgwmhx3gzbro1-RO/image;s=1000x667;https://frankfurt.apollo.olxcdn.com:443/v1/files/6z7q0xff6fhh3-RO/image;s=1000x667,diesel,automatic,Break,Audi,A6,olx_jBwr4,2025-09-18T18:27:41.393005
Audi Q3 Sportback Primul Proprietar,32 000 €,32000.0,2021,30 400,https://www.olx.ro/d/oferta/audi-q3-sportback-primul-proprietar-IDjJ1ra.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wt66zdjnlw17-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/et9p3fbhd2w13-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/v6ok3wf7epo3-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/0i76lssh7uil1-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/wq9f29nfai5i3-RO/image;s=1500x2000,diesel,automatic,Hatchback,Audi,Q3,olx_jJ1ra,2025-09-18T18:27:48.932673
Audi 35 Tfsi 2021,18 990 €,18990.0,2021,186 000,https://www.olx.ro/d/oferta/audi-35-tfsi-2021-IDjIrDb.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/3ur7hk9yr4492-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/liocwhyklmn23-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ybmlk651tcf13-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/2xf6d00wpij8-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ut5jf8afdc8n2-RO/image;s=750x1000,petrol,automatic,Break,Audi,Unknown,olx_jIrDb,2025-09-18T18:28:04.084919
