titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Predare Leasing C 300 4Matic Amg Mild Hybrid 258 Cp Parcare Gratuit,13 900 €,13900.0,2022,56 908,N/A,https://www.olx.ro/d/oferta/predare-leasing-c-300-4matic-amg-mild-hybrid-258-cp-parcare-gratuit-IDjAwLc.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/nq3pq1ei9q4w3-RO/image;s=2048x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/udq54gtf7ubg1-RO/image;s=1098x1042;https://frankfurt.apollo.olxcdn.com:443/v1/files/ontnyhwtriy81-RO/image;s=2048x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/nlu05vr31ifk2-RO/image;s=2048x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/g267b5rsbx9j2-RO/image;s=2048x2048,petrol,automatic,Berlina,MG,Unknown,olx_jAwLc,2025-08-27T14:20:13.118888
Mercedes Benz Glc 200D 4 Matic 163 Cp Din 2019 89287 Km Avariat,12 900 €,12900.0,2019,89 287,N/A,https://www.olx.ro/d/oferta/mercedes-benz-glc-200d-4-matic-163-cp-din-2019-89287-km-avariat-IDjF20Z.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/eujt17bk8ffm2-RO/image;s=768x1024;https://frankfurt.apollo.olxcdn.com:443/v1/files/3wc3qabxrd7r2-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/bqbl51ktaeub3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/7483df6x877n-RO/image;s=768x1024;https://frankfurt.apollo.olxcdn.com:443/v1/files/xd9k7kuklafa-RO/image;s=1024x768,diesel,automatic,SUV,Unknown,Unknown,olx_jF20Z,2025-08-27T14:20:17.072042
Mercedes Benz Glc 250 4 Matic,27 700 €,27700.0,2017,127 000,N/A,https://www.olx.ro/d/oferta/mercedes-benz-glc-250-4-matic-IDiFPta.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/kb452y71i32t-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/6xnyiha5q29-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/cy1yggcmn2zz-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/amfg1fh00dr72-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/b4q2vs80rn06-RO/image;s=750x1000,diesel,automatic,SUV,Unknown,Unknown,olx_iFPta,2025-08-27T14:20:20.341485
Mercedes Benz Glc 300 De,27 995 €,27995.0,2021,188 000,N/A,https://www.olx.ro/d/oferta/mercedes-benz-glc-300-de-IDjKA5q.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/u19b2lzt3yfb1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/srgg7odct4ix2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/2eqw1x8ewe82-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/fpjj4ht89ern1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/yoadjdyxl5yh3-RO/image;s=1600x1200,diesel,automatic,SUV,Unknown,Unknown,olx_jKA5q,2025-08-27T14:20:24.695769
Mercedes C Class,14 500 €,14500.0,2017,229 000,N/A,https://www.olx.ro/d/oferta/mercedes-c-class-IDjKA2A.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/o2pq5b20gwzu3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/vqf7aonmztp12-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xy9oaqvreokg3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/webmaliqz1ho1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/r8t0qmrssw553-RO/image;s=750x1000,diesel,automatic,Break,Unknown,Unknown,olx_jKA2A,2025-08-27T14:20:29.174247
Mercedes Benz Cla 220 4 Matic Amg Line,22 000 €,22000.0,2017,106 373,N/A,https://www.olx.ro/d/oferta/mercedes-benz-cla-220-4-matic-amg-line-IDiY3sw.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/fryt7g0bw1ui2-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/j95yhxzsv4xf2-RO/image;s=2000x1432;https://frankfurt.apollo.olxcdn.com:443/v1/files/n7jpw64f727f2-RO/image;s=2250x2869;https://frankfurt.apollo.olxcdn.com:443/v1/files/7855j9rhwz2x1-RO/image;s=4000x2250;https://frankfurt.apollo.olxcdn.com:443/v1/files/oks48zi2v8os2-RO/image;s=4000x3000,petrol,automatic,"//schema.org/UsedCondition""}}",MG,Unknown,olx_iY3sw,2025-08-27T14:20:33.550892
Mercedes Benz Gle 350E Coupe 4 Matic Amg Eq,58 000 €,58000.0,2022,118 000,N/A,https://www.olx.ro/d/oferta/mercedes-benz-gle-350e-coupe-4-matic-amg-eq-IDjJPND.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/w8i6xusgye4k-RO/image;s=1000x741;https://frankfurt.apollo.olxcdn.com:443/v1/files/no72krhkp6el-RO/image;s=1000x749;https://frankfurt.apollo.olxcdn.com:443/v1/files/hsshhaa0oqhr1-RO/image;s=1000x882;https://frankfurt.apollo.olxcdn.com:443/v1/files/sovrguf4nqp31-RO/image;s=1000x773;https://frankfurt.apollo.olxcdn.com:443/v1/files/j7lbesnbekxw-RO/image;s=1000x884,N/A,automatic,SUV,MG,Unknown,olx_jJPND,2025-08-27T14:20:36.686996
Mercedes Sprinter 316 Frigorific,39 000 €,39000.0,2023,136 000,N/A,https://www.olx.ro/d/oferta/mercedes-sprinter-316-frigorific-IDjBdvz.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/op1by9rl1xkf-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/dpjfirocoq4j2-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/piptwpxyc8h6-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/m00ppl7kd4kv1-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/zjgs24moug101-RO/image;s=1500x2000,diesel,automatic,Monovolum,Unknown,Unknown,olx_jBdvz,2025-08-27T14:20:40.771309
Mercedes A Klass 250E Plug In Hybrid Amg Paket Sedan,22 500 €,22500.0,2020,217 000,N/A,https://www.olx.ro/d/oferta/mercedes-a-klass-250e-plug-in-hybrid-amg-paket-sedan-IDjDaON.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/lhmr14rzotwa3-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/2pf0kg3eefd82-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/mkd1144vce433-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/87swbcmchbm11-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/7glpegngj8hd3-RO/image;s=4000x3000,N/A,automatic,"//schema.org/UsedCondition""}}",MG,Unknown,olx_jDaON,2025-08-27T14:20:44.116333
Mercedes Benz 300E,47 100 €,47100.0,2020,,N/A,https://www.olx.ro/d/oferta/mercedes-benz-300e-IDjKz9s.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/xnfnn451fez1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/8dlgc3xn9yh02-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/vy9pka7uibmj-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/4jx2fpcuhm4y1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/qej7vi7pdsjq1-RO/image;s=750x1000,N/A,automatic,"//schema.org/UsedCondition""}}",Unknown,Unknown,olx_jKz9s,2025-08-27T14:20:48.389399
