titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
2019 Audi A6 2 0 Tdi Euro 6 Vand Sau Predare Leasing Fara Schimb,20 000 €,20000.0,2019,113 500,https://www.olx.ro/d/oferta/2019-audi-a6-2-0-tdi-euro-6-vand-sau-predare-leasing-fara-schimb-IDjOg6t.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ikvjfrrshnwt2-RO/image;s=2048x1475;https://frankfurt.apollo.olxcdn.com:443/v1/files/xrug9ptywjqc3-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/8vju1yi3bs163-RO/image;s=2048x1453;https://frankfurt.apollo.olxcdn.com:443/v1/files/cut40bac2moa1-RO/image;s=1467x1956;https://frankfurt.apollo.olxcdn.com:443/v1/files/jcsatkw9kvwn2-RO/image;s=1536x1978,diesel,automatic,Berlina,Audi,A6,olx_jOg6t,2025-09-15T02:07:09.211372
Audia A6 C8 Mild Hybrid 2 0 Quattro,24 490 €,24490.0,2021,147.000,https://www.olx.ro/d/oferta/audia-a6-c8-mild-hybrid-2-0-quattro-IDjLGNO.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/70kug8p3iajm3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/f3zu4xa717rz-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/hyp8emhdds2h3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/mmpu6nsus8qc2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/1rk6zm5yxvh63-RO/image;s=1000x750,diesel,automatic,Break,Audi,A6,olx_jLGNO,2025-09-15T02:07:17.758729
Audi A6 Allroad 2017 Matrix Panoramik Head Up Keyless Schimb Cu 8 1,33 500 €,33500.0,2017,70 000,https://www.olx.ro/d/oferta/audi-a6-allroad-2017-matrix-panoramik-head-up-keyless-schimb-cu-8-1-IDi3Rse.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/j9853c37rmrm1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/3pdcarem9axw1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/g4r73iqsvpap2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/m3f25yoocd893-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/siz81evbkzgk-RO/image;s=2000x1500,diesel,automatic,Break,Audi,A6,olx_i3Rse,2025-09-15T02:07:26.686717
Audi A6 4000 Tdi,26 900 €,26900.0,4000,145 000,https://www.olx.ro/d/oferta/audi-a6-4000-tdi-IDj5wf0.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/0cnor1treafh3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/9dss5k5z3wer3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/bfypnl3dvzg91-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/lkgkkpa78q481-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/42nsrw66xprm-RO/image;s=1000x750,N/A,automatic,Berlina,Audi,A6,olx_j5wf0,2025-09-15T02:07:34.943298
Vand Audi Sq5 B9,27 500 €,27500.0,N/A,N/A,https://www.olx.ro/d/oferta/vand-audi-sq5-b9-IDjMnNj.html,,N/A,N/A,N/A,Audi,Q5,olx_jMnNj,2025-09-15T02:07:41.927065
Audi A4 B9 2018 Sedan,20 000 €,20000.0,2018,115 000,https://www.olx.ro/d/oferta/audi-a4-b9-2018-sedan-IDjwmjF.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/xyjpww16o8yr2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yebzgbl2ywxu2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/524hol07yigo3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/u58zzrdl2o051-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ctizmsdov8a8-RO/image;s=750x1000,petrol,automatic,"//schema.org/UsedCondition""}}",Audi,A4,olx_jwmjF,2025-09-15T02:07:49.659785
2019 Audi A6 2 0 Tdi Euro 6 Vand Sau Predare Leasing Fara Schimb,20 000 €,20000.0,2019,113 500,https://www.olx.ro/d/oferta/2019-audi-a6-2-0-tdi-euro-6-vand-sau-predare-leasing-fara-schimb-IDjOg6t.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ikvjfrrshnwt2-RO/image;s=2048x1475;https://frankfurt.apollo.olxcdn.com:443/v1/files/xrug9ptywjqc3-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/8vju1yi3bs163-RO/image;s=2048x1453;https://frankfurt.apollo.olxcdn.com:443/v1/files/cut40bac2moa1-RO/image;s=1467x1956;https://frankfurt.apollo.olxcdn.com:443/v1/files/jcsatkw9kvwn2-RO/image;s=1536x1978,diesel,automatic,Berlina,Audi,A6,olx_jOg6t,2025-09-15T02:07:56.902024
Audi Q7 Quattro Tfsi 2017,32 000 €,32000.0,2017,148 000,https://www.olx.ro/d/oferta/audi-q7-quattro-tfsi-2017-IDjK0AE.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/m22z25tdq5k6-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/ftvjsozx2xg32-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/mv2bk5r5htra3-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/vkcmmj0sgpyn1-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/093ep5kiddyf-RO/image;s=3024x4032,petrol,automatic,SUV,Audi,Q7,olx_jK0AE,2025-09-15T02:08:04.492318
Audi Q2 1 0 Tfsi S Tronic Sport Galben Vegas Unic Proprietar,17 900 €,17900.0,2018,77 700,https://www.olx.ro/d/oferta/audi-q2-1-0-tfsi-s-tronic-sport-galben-vegas-unic-proprietar-IDjNEY7.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/09sl8nuthuc32-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/33a3254rds1e-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/hpzfd9lk3jux-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/ofqd7ci36yx63-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/cuebja197ny92-RO/image;s=1536x2048,petrol,automatic,"//schema.org/UsedCondition""}}",Audi,Q2,olx_jNEY7,2025-09-15T02:08:12.487738
Audi Sq5 3 0Tfsi Quattro Virtual Matrix Pano B O Keyless Perne,26 900 €,26900.0,2018,199 000,https://www.olx.ro/d/oferta/audi-sq5-3-0tfsi-quattro-virtual-matrix-pano-b-o-keyless-perne-IDiJNRr.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1d82gizoeulb2-RO/image;s=1000x453;https://frankfurt.apollo.olxcdn.com:443/v1/files/8pfv4j2hy03o-RO/image;s=1000x430;https://frankfurt.apollo.olxcdn.com:443/v1/files/m8i1s3vuudhf-RO/image;s=1000x412;https://frankfurt.apollo.olxcdn.com:443/v1/files/9i4itzsj6d681-RO/image;s=1000x488;https://frankfurt.apollo.olxcdn.com:443/v1/files/4ydcndaz44sz-RO/image;s=1000x990,petrol,automatic,SUV,Audi,Q5,olx_iJNRr,2025-09-15T02:08:20.091693
Audi A5 Panoramic Matrix Automat Impecabil,19 500 €,19500.0,2018,198 000,https://www.olx.ro/d/oferta/audi-a5-panoramic-matrix-automat-impecabil-IDjIMKa.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/8qw51efmugjk2-RO/image;s=1473x853;https://frankfurt.apollo.olxcdn.com:443/v1/files/u77rkrt1tjz72-RO/image;s=1266x719;https://frankfurt.apollo.olxcdn.com:443/v1/files/1eq913xo5cm32-RO/image;s=1472x807;https://frankfurt.apollo.olxcdn.com:443/v1/files/59nnwrwhw1zc2-RO/image;s=1693x956;https://frankfurt.apollo.olxcdn.com:443/v1/files/eqi361ode1eb3-RO/image;s=2000x1500,diesel,automatic,Berlina,Audi,A5,olx_jIMKa,2025-09-15T02:08:28.230234
Vand Audi A4 B9,16 150 €,16150.0,2018,194 000,https://www.olx.ro/d/oferta/vand-audi-a4-b9-IDjxABN.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2ejou4fods0n-RO/image;s=1000x725;https://frankfurt.apollo.olxcdn.com:443/v1/files/goj4ubawdskx-RO/image;s=1000x780;https://frankfurt.apollo.olxcdn.com:443/v1/files/c4hykb6a46ci2-RO/image;s=1000x978;https://frankfurt.apollo.olxcdn.com:443/v1/files/2lk4fcywku053-RO/image;s=1000x651;https://frankfurt.apollo.olxcdn.com:443/v1/files/b95vpcu747km1-RO/image;s=1000x623,diesel,automatic,Break,Audi,A4,olx_jxABN,2025-09-15T02:08:36.671810
