titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Cupra Formentor 2021 07 1 5Tsi 245 Cp Distronic Lane Side Plasme,21 999 €,21999.0,2021,143 000,N/A,https://www.olx.ro/d/oferta/cupra-formentor-2021-07-1-5tsi-245-cp-distronic-lane-side-plasme-IDjMch2.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/u51wf3le9rgb2-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/nslnl8la0eya1-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/0c8gpt5pc97p2-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/gbuibbr4dhxs3-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/ywonfszzur2d3-RO/image;s=4032x3024,hybrid,automatic,Hatchback,Cupra,Formentor,olx_jMch2,2025-09-11T15:56:52.020367
Cupra Formentor 1 4 Benzina Plug In Hybrid 204 Cp 2022 41000Km,"28 000 €
Prețul e negociabil",28000.0,2022,41 640,N/A,https://www.olx.ro/d/oferta/cupra-formentor-1-4-benzina-plug-in-hybrid-204-cp-2022-41000km-IDjMRd9.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/y95zgshc68yi2-RO/image;s=2000x1126;https://frankfurt.apollo.olxcdn.com:443/v1/files/v6vgpczogo7m-RO/image;s=2000x1126;https://frankfurt.apollo.olxcdn.com:443/v1/files/t0z4jivjo0t83-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/1xvcwo05lwsx2-RO/image;s=1575x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/1hvu42wmgzri1-RO/image;s=2000x1500,hybrid,automatic,Hatchback,Cupra,Formentor,olx_jMRd9,2025-09-11T15:56:56.947940
Vand Cupra Formentor,"28 000 €
Prețul e negociabil",28000.0,2024,36 321,N/A,https://www.olx.ro/d/oferta/vand-cupra-formentor-IDjHhh1.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ubb4gtxz605b-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/frzu51vzqrq5-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/iw2r2wiayiw42-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/vnzowf050uq73-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/9fm04t2xmda-RO/image;s=1500x2000,petrol,automatic,SUV,Cupra,Formentor,olx_jHhh1,2025-09-11T15:57:01.403028
Cupra Formentor 2021 Hybrid Plug In 245Cp,21 890 €,21890.0,2021,142 400,N/A,https://www.olx.ro/d/oferta/cupra-formentor-2021-hybrid-plug-in-245cp-IDjMyYs.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/kh9ag6vtrkle-RO/image;s=1179x873;https://frankfurt.apollo.olxcdn.com:443/v1/files/lt559we8tuyg1-RO/image;s=1179x881;https://frankfurt.apollo.olxcdn.com:443/v1/files/q4bscdf1475o-RO/image;s=1179x881;https://frankfurt.apollo.olxcdn.com:443/v1/files/l1aj19bw8bef-RO/image;s=1179x873;https://frankfurt.apollo.olxcdn.com:443/v1/files/wf3i79rhvmsd-RO/image;s=1179x875,hybrid,automatic,Hatchback,Cupra,Formentor,olx_jMyYs,2025-09-11T15:57:06.229883
Cupra Formentor Vz Priority E Hybrid 245 Cai Camere 360,23 800 €,23800.0,2021,95 000,N/A,https://www.olx.ro/d/oferta/cupra-formentor-vz-priority-e-hybrid-245-cai-camere-360-IDjMwM7.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/yiic9ykxebt23-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/kso2vo689o333-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/tg9tp9dfwulj-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/17qn3z8z9fmv3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8ztjuhz3ljvp2-RO/image;s=750x1000,hybrid,automatic,SUV,Cupra,Formentor,olx_jMwM7,2025-09-11T15:57:10.906737
Cupra Formentor Vz 20 Tsi 333 Cp 4 Drive An 2025 Nou Variante Dif,56 000 €,56000.0,2025,2 000,N/A,https://www.olx.ro/d/oferta/cupra-formentor-vz-20-tsi-333-cp-4-drive-an-2025-nou-variante-dif-IDjMciU.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/su87iz7auwm8-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/q45lsu5pw4ps2-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/nmowsducyqp62-RO/image;s=1600x865;https://frankfurt.apollo.olxcdn.com:443/v1/files/lx0k86gdflto1-RO/image;s=1600x909;https://frankfurt.apollo.olxcdn.com:443/v1/files/arlua0d5vrmz1-RO/image;s=1600x909,petrol,automatic,SUV,Cupra,Formentor,olx_jMciU,2025-09-11T15:57:15.067597
Cupra Formentor 2 0Tsi 190Hp 4X4,26 999 €,26999.0,2021,57 949,N/A,https://www.olx.ro/d/oferta/cupra-formentor-2-0tsi-190hp-4x4-IDjFWqX.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/eaemyno7vjn32-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/0kqtuw3neh4q-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/u4qrrm264skg-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/5g6a2vfbpxca1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/4hm2yh4qrtp32-RO/image;s=750x1000,petrol,automatic,SUV,Cupra,Formentor,olx_jFWqX,2025-09-11T15:57:19.991219
Vand Autoturism Cupra Formentor,"25 500 €
Prețul e negociabil",25500.0,2022,49 800,N/A,https://www.olx.ro/d/oferta/vand-autoturism-cupra-formentor-IDjET7p.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/3kd8rqh91zgd3-RO/image;s=1506x1983;https://frankfurt.apollo.olxcdn.com:443/v1/files/ub4bovg8r3dd1-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/rlrjhy6bdexf3-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/chf2yq0uvkoq-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/5xvl7t7i783o2-RO/image;s=1500x2000,petrol,automatic,SUV,Cupra,Formentor,olx_jET7p,2025-09-11T15:57:24.795933
Cupra Formentor 1 5 Etsi,"29 500 €
Prețul e negociabil",29500.0,2024,11 300,N/A,https://www.olx.ro/d/oferta/cupra-formentor-1-5-etsi-IDjFVdW.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/b8u8tyd529dl1-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/anutea8fw51j3-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/puuyhg1ada0w-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/lapnh45dv89j3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/dixhfuyn9gmf2-RO/image;s=1000x563,hybrid,automatic,SUV,Cupra,Formentor,olx_jFVdW,2025-09-11T15:57:28.760269
Cupra Formentor 2021 07 245 Cp 1 5 Tsi Hybrid Full,21 850 €,21850.0,2021,142 400,N/A,https://www.olx.ro/d/oferta/cupra-formentor-2021-07-245-cp-1-5-tsi-hybrid-full-IDjLyjo.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ak6ce9zm1fks2-RO/image;s=1179x860;https://frankfurt.apollo.olxcdn.com:443/v1/files/cb0ilpv631xj3-RO/image;s=1179x868;https://frankfurt.apollo.olxcdn.com:443/v1/files/c5wiyj36owok-RO/image;s=1179x872;https://frankfurt.apollo.olxcdn.com:443/v1/files/syn6jraixr673-RO/image;s=1179x877;https://frankfurt.apollo.olxcdn.com:443/v1/files/y634n9aqjjlt3-RO/image;s=1179x875,petrol,automatic,Hatchback,Cupra,Formentor,olx_jLyjo,2025-09-11T15:57:34.534259
