titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Mercedes Benz Glc 220 D,22 000 €,22000.0,2017,166 000,https://www.olx.ro/d/oferta/mercedes-benz-glc-220-d-IDjMDUs.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wt5pvru70uev1-RO/image;s=768x1024;https://frankfurt.apollo.olxcdn.com:443/v1/files/3iavxc48kslm1-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/z5lgcpcsic7f1-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/zpe90w6g90932-RO/image;s=768x1024;https://frankfurt.apollo.olxcdn.com:443/v1/files/2qiz9mn5j7752-RO/image;s=1024x768,diesel,automatic,SUV,Unknown,Unknown,olx_jMDUs,2025-09-16T07:09:33.414414
Bmw 320 Gt Automata M Packet 190 Cp Top 2019 Euro 6,24 500 €,24500.0,2020,12 800,https://www.olx.ro/d/oferta/bmw-320-gt-automata-m-packet-190-cp-top-2019-euro-6-IDiNnOj.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1y6fcyqsnb7e1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/23nhj0lyz0ki1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/a9xdyzhpq4hn3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/sxtn4xtzpptv-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ovbln7xa24lc3-RO/image;s=750x1000,diesel,automatic,Berlina,BMW,Unknown,olx_iNnOj,2025-09-16T07:17:42.698362
Bmw X4 G02 M Avariat,11 000 €,11000.0,2019,34 000,https://www.olx.ro/d/oferta/bmw-x4-g02-m-avariat-IDjDawL.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/fjg3pir4gg2o2-RO/image;s=1025x770;https://frankfurt.apollo.olxcdn.com:443/v1/files/uxzfuwdcarwi-RO/image;s=903x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/675tbxy7b1vr-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/b9y4njeoasvh3-RO/image;s=5712x4284;https://frankfurt.apollo.olxcdn.com:443/v1/files/fcz4h5dxxob6-RO/image;s=2000x1500,diesel,automatic,SUV,BMW,X4,olx_jDawL,2025-09-16T07:17:49.862973
Bmw G20 320D Xdrive 190 Cai Motor Nou,28 000 €,28000.0,2020,81 000,https://www.olx.ro/d/oferta/bmw-g20-320d-xdrive-190-cai-motor-nou-IDjGh7w.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/e2tbp4o8mmfu3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/41aj4r117ui91-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/vrf303h8j9rd-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/8e65hvt5rxep2-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/1c4rb56nxb7q1-RO/image;s=2000x1500,diesel,automatic,Berlina,BMW,Unknown,olx_jGh7w,2025-09-16T07:19:18.658627
Bmw X3 M Bmw X3 M40D Xdrive 326 Cp,35 900 €,35900.0,2019,143 300,https://www.olx.ro/d/oferta/bmw-x3-m-bmw-x3-m40d-xdrive-326-cp-IDjM9zH.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/y8u995aaov043-RO/image;s=607x617;https://frankfurt.apollo.olxcdn.com:443/v1/files/kng62dqk44yf3-RO/image;s=1000x790;https://frankfurt.apollo.olxcdn.com:443/v1/files/otyu88ie0m0n1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/dc6cfnswwuxh1-RO/image;s=929x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/s1j7oworp6ax1-RO/image;s=1000x750,diesel,automatic,SUV,BMW,M4,olx_jM9zH,2025-09-16T07:21:34.685037
