titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Vand Audi A4 2 0D,19 000 €,19000.0,2018,113 000,https://www.olx.ro/d/oferta/vand-audi-a4-2-0d-IDjnw1p.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/imujyscze4z92-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/6jso9kidy8g52-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/aly9c0ch7bgi3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/1x5t8yxuibg41-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/f623et0wkhlu-RO/image;s=1500x2000,diesel,automatic,Berlina,Audi,A4,olx_jnw1p,2025-09-16T14:35:14.653491
Audi A5 S Line Quattro,"32 500 €
Prețul e negociabil",32500.0,2017,70 900,https://www.olx.ro/d/oferta/audi-a5-s-line-quattro-IDjNvK5.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/nmngxpvfzhf62-RO/image;s=1645x2193;https://frankfurt.apollo.olxcdn.com:443/v1/files/oqn206y827jw-RO/image;s=1645x2193;https://frankfurt.apollo.olxcdn.com:443/v1/files/5e48i37qwy9b-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/gb1lan4ec06t-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/duvi8z6o4gvf-RO/image;s=3024x4032,diesel,automatic,Berlina,Audi,A5,olx_jNvK5,2025-09-16T14:35:47.511760
Audi A4 35 Tfsi Garantie Producator 11 2025,22 490 €,22490.0,2021,101 000,https://www.olx.ro/d/oferta/audi-a4-35-tfsi-garantie-producator-11-2025-IDjhLxr.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/6w2p8o6m2t203-RO/image;s=562x999;https://frankfurt.apollo.olxcdn.com:443/v1/files/0y6woi1dw2ni1-RO/image;s=562x999;https://frankfurt.apollo.olxcdn.com:443/v1/files/4rznbip8ob0e3-RO/image;s=505x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/5xbq1ot0sufj3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/2hux5zbb04q73-RO/image;s=1000x750,petrol,automatic,Hatchback,Audi,A4,olx_jhLxr,2025-09-16T14:35:55.198698
Audi E Tron Q50 Quattro Full Electric 313 Hpmasina In St,"24 500 €
Prețul e negociabil",24500.0,2019,155 000,https://www.olx.ro/d/oferta/audi-e-tron-q50-quattro-full-electric-313-hpmasina-in-st-IDjOvWE.html,,electric,automatic,SUV,Audi,Q5,olx_jOvWE,2025-09-16T14:36:02.938699
Autoturism Audi Q3,"15 250 €
Prețul e negociabil",15250.0,2018,78 920,https://www.olx.ro/d/oferta/autoturism-audi-q3-IDjOwIC.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/fb2hbmw2kbsv1-RO/image;s=546x1152;https://frankfurt.apollo.olxcdn.com:443/v1/files/x6c5ig1aycpk2-RO/image;s=546x1152;https://frankfurt.apollo.olxcdn.com:443/v1/files/mx0kvpsqc8bb-RO/image;s=1152x546;https://frankfurt.apollo.olxcdn.com:443/v1/files/2fvcad74dla02-RO/image;s=546x1152;https://frankfurt.apollo.olxcdn.com:443/v1/files/slj4tb18nlra2-RO/image;s=546x1152,petrol,automatic,SUV,Audi,Q3,olx_jOwIC,2025-09-16T14:36:32.383783
Audi R8 V10 Plus Performance,125 000 €,125000.0,2018,40 000,https://www.olx.ro/d/oferta/audi-r8-v10-plus-performance-IDjmVmY.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/h025splq6t6f1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/c0lxtsxf0r1q3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/6fzhk7tr5spn-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ws4tymc3vjk43-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/avsmq5pqa39j1-RO/image;s=750x1000,petrol,automatic,Coupe,Audi,R8,olx_jmVmY,2025-09-16T14:37:57.632512
Audi A6 50 Tdi 286Cp Mild Hybrid 135 000Km,27 700 €,27700.0,2019,135 000,https://www.olx.ro/d/oferta/audi-a6-50-tdi-286cp-mild-hybrid-135-000km-IDjNgO4.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1hr7mpygozgp2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ij61us75mcxs-RO/image;s=1000x699;https://frankfurt.apollo.olxcdn.com:443/v1/files/dzswkyydjb212-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8izwl8ngtrdr2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/e834ml31b7a01-RO/image;s=1000x750,diesel,automatic,Berlina,Audi,A6,olx_jNgO4,2025-09-16T14:38:03.651745
Bmw 118I Hatch Linia Model Advantage,"21 000 €
Prețul e negociabil",21000.0,2022,43 000,https://www.olx.ro/d/oferta/bmw-118i-hatch-linia-model-advantage-IDjOAdg.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/fm3awhxjepgg-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/fv6xgmkedzwi2-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/oef7681j1u4f2-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/gkgimyhys08x2-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/ijynpftx0eef2-RO/image;s=4032x3024,petrol,automatic,Hatchback,BMW,Unknown,olx_jOAdg,2025-09-16T14:39:23.478535
Bmw Seria 4 F36 420I Gran Coupe B48,19 800 €,19800.0,2017,173 000,https://www.olx.ro/d/oferta/bmw-seria-4-f36-420i-gran-coupe-b48-IDjudQG.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/yonx2ol6notg2-RO/image;s=1000x719;https://frankfurt.apollo.olxcdn.com:443/v1/files/v56epdwu5lox1-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/srlbioevvd6k1-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/92cusv9e02pg-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/ktp4ixm1l2xs-RO/image;s=1000x563,petrol,automatic,Hatchback,BMW,Seria 4,olx_judQG,2025-09-16T14:40:04.147226
Bmw 440I Xdrive Individual Frozen Bronze Metallic,"30 900 €
Prețul e negociabil",30900.0,2017,144 738,https://www.olx.ro/d/oferta/bmw-440i-xdrive-individual-frozen-bronze-metallic-IDjdDu1.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vuoe1ge15kr92-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/5wcsn09z4ds5-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/hss0plrqi5dc-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/eig0anmo3ty33-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/09e7a13yz3xm1-RO/image;s=1600x1066,petrol,automatic,Coupe,BMW,Unknown,olx_jdDu1,2025-09-16T14:40:17.243825
