titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A8 50 Tdi B O Ppf Fara Daune Webasto,"48 900 €
Prețul e negociabil",48900.0,2019,145 000,https://www.olx.ro/d/oferta/audi-a8-50-tdi-b-o-ppf-fara-daune-webasto-IDjNnqQ.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/c826p40qjmy53-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/3q8s170b945g-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/jyv6kq8od1n8-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/eiu8stuucbgv3-RO/image;s=1000x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/37mi6gvvff941-RO/image;s=1000x1000,diesel,automatic,Berlina,Audi,A8,olx_jNnqQ,2025-09-15T12:46:47.487579
Audi A8 Audi A8 Diesel Unic Peoprietar Posibil Factura Tva,35 000 €,35000.0,2019,190 000,https://www.olx.ro/d/oferta/audi-a8-audi-a8-diesel-unic-peoprietar-posibil-factura-tva-IDj4jzW.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/119k0za880lf1-RO/image;s=1813x1360;https://frankfurt.apollo.olxcdn.com:443/v1/files/lqxd7m54u8hv3-RO/image;s=1813x1360;https://frankfurt.apollo.olxcdn.com:443/v1/files/fjpxbfadefql-RO/image;s=1813x1360;https://frankfurt.apollo.olxcdn.com:443/v1/files/8zxje9894utg3-RO/image;s=1813x1360;https://frankfurt.apollo.olxcdn.com:443/v1/files/3x4nipku9tq83-RO/image;s=1813x1360,diesel,automatic,Berlina,Audi,A8,olx_j4jzW,2025-09-15T12:46:55.004962
Audi Q8 45Tdi S Line,60 000 €,60000.0,2021,99 800,https://www.olx.ro/d/oferta/audi-q8-45tdi-s-line-IDjOkGR.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/5kjreqw8tsi6-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/v9m9rnsddcva3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/gp7i97dwhb9s3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/8hesa1rf2rg43-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/fjjv8ej1y12u3-RO/image;s=750x1000,diesel,N/A,SUV,Audi,Q8,olx_jOkGR,2025-09-15T12:47:02.055270
Audi A6 S Line 2018 81 822 Km,26 000 €,26000.0,2018,81 812,https://www.olx.ro/d/oferta/audi-a6-s-line-2018-81-822-km-IDjIz72.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/qule9aitzo32-RO/image;s=788x1050;https://frankfurt.apollo.olxcdn.com:443/v1/files/9j8p8jhgptfa3-RO/image;s=788x1050;https://frankfurt.apollo.olxcdn.com:443/v1/files/jyknv846v9vv-RO/image;s=768x1024;https://frankfurt.apollo.olxcdn.com:443/v1/files/qp1zozgd6ijs-RO/image;s=768x1024;https://frankfurt.apollo.olxcdn.com:443/v1/files/56a12zh6f1p71-RO/image;s=768x1024,diesel,N/A,Berlina,Audi,A6,olx_jIz72,2025-09-15T12:47:24.405238
Audi Q5 Sprot 2 0 Tdi Quattro,27 000 €,27000.0,2018,76 000,https://www.olx.ro/d/oferta/audi-q5-sprot-2-0-tdi-quattro-IDiYFv3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/cb3vqmzr0k2a-RO/image;s=1543x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/r6dka3yvgnz82-RO/image;s=1600x720;https://frankfurt.apollo.olxcdn.com:443/v1/files/60ydxzp2oy053-RO/image;s=1600x814;https://frankfurt.apollo.olxcdn.com:443/v1/files/6phom8tsvy3h1-RO/image;s=1442x739;https://frankfurt.apollo.olxcdn.com:443/v1/files/xd0k39lqeghc2-RO/image;s=1599x1071,diesel,automatic,SUV,Audi,Q5,olx_iYFv3,2025-09-15T12:47:43.679567
Autoturism De Vanzare,19 500 €,19500.0,2024,18 000,https://www.olx.ro/d/oferta/autoturism-de-vanzare-IDjHFhF.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ajj8echfy64i2-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/jfufkj87b9x23-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/clsft6bh9ic2-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/7efd5rs7hyb4-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/zpr8dbw4z2zn1-RO/image;s=1600x1200,electric,automatic,Hatchback,Unknown,Unknown,olx_jHFhF,2025-09-15T12:48:04.509627
2 0 Tdi S Tronic Design,"18 490 €
Prețul e negociabil",18490.0,2017,187 098,https://www.olx.ro/d/oferta/2-0-tdi-s-tronic-design-IDjI4Tx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/lnbzbi7x3hmm2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/d9m9sbdgfufl2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/i2kg8jmodmnk-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/qcs70oojha7e-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ot3l879qwkc7-RO/image;s=750x1000,diesel,automatic,Berlina,Unknown,Unknown,olx_jI4Tx,2025-09-15T12:50:24.405680
Bmw X5 M Pachet Laser 110Mii Km 0 Daune Variante Auto,41 900 €,41900.0,2019,110 000,https://www.olx.ro/d/oferta/bmw-x5-m-pachet-laser-110mii-km-0-daune-variante-auto-IDjOnwe.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/io2leafkx5je-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/1pxmklsv2u432-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/wntr6ewclmtv3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/vh5bdng1kmns1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/qifsyx36kols-RO/image;s=1250x1250,petrol,automatic,SUV,BMW,X5,olx_jOnwe,2025-09-15T12:51:02.178272
Bmw M5 Competition,55 000 €,55000.0,2019,182 000,https://www.olx.ro/d/oferta/bmw-m5-competition-IDjEh7P.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/9krnebjahmc83-RO/image;s=1042x545;https://frankfurt.apollo.olxcdn.com:443/v1/files/pjzw7t9kf7tw-RO/image;s=1170x1365;https://frankfurt.apollo.olxcdn.com:443/v1/files/9n961r7k92vm2-RO/image;s=931x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/2v8t77z1z6851-RO/image;s=1179x1566;https://frankfurt.apollo.olxcdn.com:443/v1/files/ml5ddbayzqy13-RO/image;s=1179x777,petrol,automatic,Berlina,BMW,M5,olx_jEh7P,2025-09-15T12:51:09.485653
Bmw Seria 1 F40 118I,19 000 €,19000.0,2020,99 300,https://www.olx.ro/d/oferta/bmw-seria-1-f40-118i-IDjOnja.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/v9gojbwth1ng1-RO/image;s=792x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/h1dn5mfu1clf-RO/image;s=571x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/mpcxnnjcdd2h3-RO/image;s=578x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/lwnhk4gtq2ot1-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/kdg8k0dquewb-RO/image;s=750x1000,petrol,automatic,Hatchback,BMW,Seria 1,olx_jOnja,2025-09-15T12:51:16.144011
Bmw M850I Coupe Individual Manufaktur Garantie,"55 900 €
Prețul e negociabil",55900.0,2020,79 900,https://www.olx.ro/d/oferta/bmw-m850i-coupe-individual-manufaktur-garantie-IDjGDcS.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/f1wwg2urs54z1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/seaufqdb0yyn1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/b1asruzpvzbz-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/kh8qqc0v2i113-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/nv1f6j4mb8cy1-RO/image;s=750x1000,petrol,automatic,Coupe,BMW,M8,olx_jGDcS,2025-09-15T12:51:23.122968
Bmw X1 Xdrive25E,"19 000 €
Prețul e negociabil",19000.0,2020,160 000,https://www.olx.ro/d/oferta/bmw-x1-xdrive25e-IDjFHG7.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/xh49ihzeikn01-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/9klyu4bd0qox1-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/l9voj25m5wfy-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/7m33tgrxw96m3-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/8t5cqwjvyqwg1-RO/image;s=1600x1200,hybrid,automatic,SUV,BMW,X1,olx_jFHG7,2025-09-15T12:51:29.183986
Predare Cedare Leasing Bmw 320D G20 Xdrive 2021,11 800 €,11800.0,2021,170 000,https://www.olx.ro/d/oferta/predare-cedare-leasing-bmw-320d-g20-xdrive-2021-IDjJWJc.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/5476514fu9ho3-RO/image;s=1000x665;https://frankfurt.apollo.olxcdn.com:443/v1/files/ytoubtvibii52-RO/image;s=1000x665;https://frankfurt.apollo.olxcdn.com:443/v1/files/5f7e0elf2gev2-RO/image;s=1000x665;https://frankfurt.apollo.olxcdn.com:443/v1/files/wpbd9k5oiy192-RO/image;s=1000x665;https://frankfurt.apollo.olxcdn.com:443/v1/files/co10t7ihokrr1-RO/image;s=1000x665,electric,automatic,"//schema.org/UsedCondition""}}",BMW,Unknown,olx_jJWJc,2025-09-15T12:51:50.313318
2020 Bmw X5 M50D,47 800 €,47800.0,2020,115 000,https://www.olx.ro/d/oferta/2020-bmw-x5-m50d-IDjKGHK.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/kofgu72fkkmp3-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/scncyklsx2s21-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/idgij0hvm7x6-RO/image;s=751x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/9kvmxkhy02rr1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/kubhh6wqxvba1-RO/image;s=750x1000,diesel,automatic,SUV,BMW,M5,olx_jKGHK,2025-09-15T12:51:57.878482
