titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A4 Avant 2 0 Tdi S Tronic Km Reali Masina Personala Antretinuta,15 800 €,15800.0,2018,135 000,https://www.olx.ro/d/oferta/audi-a4-avant-2-0-tdi-s-tronic-km-reali-masina-personala-antretinuta-IDjDDqC.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/63rxd5wfb05a3-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/4wz12442cwsf-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/6jcol6vcau0e-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/8z3j9jeq9xqs-RO/image;s=1536x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/mu3onysej677-RO/image;s=1536x2048,diesel,manual,Break,Audi,A4,olx_jDDqC,2025-09-18T11:20:00.263518
Audi A4 B9 Matrix,"14 000 €
Prețul e negociabil",14000.0,2019,175 000,https://www.olx.ro/d/oferta/audi-a4-b9-matrix-IDjOSKL.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/a7ngk8d0w2v71-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/421tqw9skbso1-RO/image;s=1000x783;https://frankfurt.apollo.olxcdn.com:443/v1/files/7rph43xj8g803-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/hmk2z81zru4p1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/331bq2i7wgsc3-RO/image;s=1000x750,diesel,automatic,Berlina,Audi,A4,olx_jOSKL,2025-09-18T11:20:07.523127
Audi A4 S Line 2020 Mildhybrid,23 990 €,23990.0,2020,167 000,https://www.olx.ro/d/oferta/audi-a4-s-line-2020-mildhybrid-IDjNnwC.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/mrtnljnp1xo61-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/lsd66vsctlsq3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/cuygujnx4wlh2-RO/image;s=1000x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/10tnxlnitt8n3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/hix5paz7cv7g3-RO/image;s=750x1000,petrol,automatic,Berlina,Audi,A4,olx_jNnwC,2025-09-18T11:20:13.895351
Audi A8 Long 3 0 D 286 Cp Quattro 2020 Full Laser Panoramic,37 999 €,37999.0,2020,145 313,https://www.olx.ro/d/oferta/audi-a8-long-3-0-d-286-cp-quattro-2020-full-laser-panoramic-IDjLyVU.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/qrqy6x874t9v-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/px1lprph4buu3-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/qokmc2qb50iz2-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/2n10s34vpyas3-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/7l7yher3h5bf-RO/image;s=1600x1066,diesel,automatic,Berlina,Audi,A8,olx_jLyVU,2025-09-18T11:20:20.523194
Audi A4 S Line 2020 Mildhybrid,23 990 €,23990.0,2020,167 000,https://www.olx.ro/d/oferta/audi-a4-s-line-2020-mildhybrid-IDjNnwC.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/mrtnljnp1xo61-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/lsd66vsctlsq3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/cuygujnx4wlh2-RO/image;s=1000x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/10tnxlnitt8n3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/hix5paz7cv7g3-RO/image;s=750x1000,petrol,automatic,Berlina,Audi,A4,olx_jNnwC,2025-09-18T11:20:28.175136
2 Audi A6 Avant S Line 286 Cp Hybrid Lejer 2019 Full Extra,33 000 €,33000.0,2019,166 000,https://www.olx.ro/d/oferta/2-audi-a6-avant-s-line-286-cp-hybrid-lejer-2019-full-extra-IDjOQk9.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/hkqbokj2g07z1-RO/image;s=2048x798;https://frankfurt.apollo.olxcdn.com:443/v1/files/kaw00iym4mc81-RO/image;s=798x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/88m13oul57g8-RO/image;s=798x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/27p2soaf62rv1-RO/image;s=798x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/ueinc5a9d3tl-RO/image;s=798x2048,diesel,automatic,Break,Audi,A6,olx_jOQk9,2025-09-18T11:20:41.752146
Audi A5 2019 S Line,"22 000 €
Prețul e negociabil",22000.0,2019,98 000,https://www.olx.ro/d/oferta/audi-a5-2019-s-line-IDjIXmJ.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/bgn8cum8saf91-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/smzs0fec8r9b2-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/v9ywrsfngog21-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/4ugtnpnchitv1-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/b505i2m157oi1-RO/image;s=2048x1536,diesel,automatic,Berlina,Audi,A5,olx_jIXmJ,2025-09-18T11:20:54.862990
Audi Q2 An 2018 Motor 1 6 Tdi Km 79000,16 899 €,16899.0,2018,79 000,https://www.olx.ro/d/oferta/audi-q2-an-2018-motor-1-6-tdi-km-79000-IDjN8dA.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/xfukqi8cf6rl3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/tq28g75q4oii1-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/1l1401nxpn3w-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/4c3r2oofhsoz1-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/gs6f2vozu8ws1-RO/image;s=1024x768,diesel,manual,Berlina,Audi,90,olx_jN8dA,2025-09-18T11:21:09.614926
Vand Audi S6 2022 Motor 3 0 344 Cp,46 000 €,46000.0,2022,61 377,https://www.olx.ro/d/oferta/vand-audi-s6-2022-motor-3-0-344-cp-IDjHK4V.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/yj4vnm1gddg91-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ifk53p377knb2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/wnjzpuss94gh2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/191af2avom052-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/33pmayexxyxq1-RO/image;s=1000x750,diesel,automatic,Break,Audi,S6,olx_jHK4V,2025-09-18T11:21:22.385549
De Vanzare Audi A7 S Line,"48 500 €
Prețul e negociabil",48500.0,2019,135 000,https://www.olx.ro/d/oferta/de-vanzare-audi-a7-s-line-IDjLCbU.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/jljp5nbjakg32-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/cetgaeaxkzwx-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/v3ci16eogmau2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/at7p3w2ujs861-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yt5hdctlvsn41-RO/image;s=2000x1500,diesel,N/A,Hatchback,Audi,A7,olx_jLCbU,2025-09-18T11:21:36.086202
Audi A4 35 Tfsi Mild Hybrid 2024 15 000 Km,"29 900 €
Prețul e negociabil",29900.0,2024,15 000,https://www.olx.ro/d/oferta/audi-a4-35-tfsi-mild-hybrid-2024-15-000-km-IDjMSMy.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/tyz84cs9ekel1-RO/image;s=1000x722;https://frankfurt.apollo.olxcdn.com:443/v1/files/5nqedtqowwi22-RO/image;s=1000x721;https://frankfurt.apollo.olxcdn.com:443/v1/files/r83f0kr67b3h-RO/image;s=1000x736;https://frankfurt.apollo.olxcdn.com:443/v1/files/hdoxlagdbl1h3-RO/image;s=1000x728;https://frankfurt.apollo.olxcdn.com:443/v1/files/jgbov3mish4y1-RO/image;s=1000x980,petrol,N/A,Berlina,Audi,A4,olx_jMSMy,2025-09-18T11:21:43.634721
Audi A4 Allroad B9,21 500 €,21500.0,2017,137 000,https://www.olx.ro/d/oferta/audi-a4-allroad-b9-IDjMUDX.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wjun68uih8e01-RO/image;s=1080x1303;https://frankfurt.apollo.olxcdn.com:443/v1/files/jku0dx8gz85u3-RO/image;s=1080x1196;https://frankfurt.apollo.olxcdn.com:443/v1/files/j6xvy4iy0mmt-RO/image;s=1080x1100;https://frankfurt.apollo.olxcdn.com:443/v1/files/yn2excg6k6lh2-RO/image;s=1075x859;https://frankfurt.apollo.olxcdn.com:443/v1/files/h4ssetdlofxs2-RO/image;s=1069x797,diesel,automatic,Break,Audi,A4,olx_jMUDX,2025-09-18T11:21:58.237445
Audi Q5 Quattro 2019 2 0 Tfsi Panoramic Piele 70 000 Km Rate,24 500 €,24500.0,2019,70 000,https://www.olx.ro/d/oferta/audi-q5-quattro-2019-2-0-tfsi-panoramic-piele-70-000-km-rate-IDjOPJy.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/05j81w1kls9q2-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/kthwmp8pkjpq1-RO/image;s=1080x1405;https://frankfurt.apollo.olxcdn.com:443/v1/files/jxytvyxviv8n2-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/s1qv0wbprcw73-RO/image;s=1600x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/63hfaasyrtya3-RO/image;s=1024x1024,petrol,automatic,SUV,Audi,Q5,olx_jOPJy,2025-09-18T11:22:11.312251
Virtualcokpit Ledmatrix Acc 2017,"13 200 €
Prețul e negociabil",13200.0,2017,187 000,https://www.olx.ro/d/oferta/virtualcokpit-ledmatrix-acc-2017-IDiSn9Y.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/6w1dexyjuk2t3-RO/image;s=1016x762;https://frankfurt.apollo.olxcdn.com:443/v1/files/o57r4v7hy5n2-RO/image;s=1016x762;https://frankfurt.apollo.olxcdn.com:443/v1/files/v3752hmajyxp2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/o437y1x690au2-RO/image;s=1016x762;https://frankfurt.apollo.olxcdn.com:443/v1/files/bcof98l6beus3-RO/image;s=1016x762,diesel,automatic,Break,Unknown,Unknown,olx_iSn9Y,2025-09-18T11:22:31.458877
