titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi Q8 66000 Km,57 000 €,57000.0,2019,66 000,https://www.olx.ro/d/oferta/audi-q8-66000-km-IDjOMKU.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/4o5thm35lsz52-RO/image;s=1280x853;https://frankfurt.apollo.olxcdn.com:443/v1/files/xxx4dju2w7ga1-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/z2czf8po47ts1-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/k4b6mbx37fxi-RO/image;s=1600x1066;https://frankfurt.apollo.olxcdn.com:443/v1/files/7hbv4p9wm02h1-RO/image;s=1600x1066,petrol,automatic,Hatchback,Audi,Q8,olx_jOMKU,2025-09-18T07:28:50.356802
Audi A8 L 5 5 Tfsi,"42 000 €
Prețul e negociabil",42000.0,2019,175 000,https://www.olx.ro/d/oferta/audi-a8-l-5-5-tfsi-IDjHnKJ.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/v372otme7fft3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/tmwqeadgmro22-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/tygx22exwy881-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/obiivzxdcai82-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/6cz09m08xyz93-RO/image;s=1000x750,hybrid,automatic,Berlina,Audi,A8,olx_jHnKJ,2025-09-18T07:28:57.433808
Audi A6 5 0Tdi S Line 33000,"3 299 €
Prețul e negociabil",3299.0,2020,141 000,https://www.olx.ro/d/oferta/audi-a6-5-0tdi-s-line-33000-IDjOMD1.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/xizre5a7h5xv2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/qwa3blm057kq-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/gyj7kp2n6u4w-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/opqz1kr40v613-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/v6x30ds0ordn3-RO/image;s=1000x750,diesel,automatic,Berlina,Audi,A6,olx_jOMD1,2025-09-18T07:29:40.658739
Audi A6 C7 S Line Quattro 2017,"18 990 €
Prețul e negociabil",18990.0,2017,128 100,https://www.olx.ro/d/oferta/audi-a6-c7-s-line-quattro-2017-IDjOMcG.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/fgqrfakk9u4n3-RO/image;s=1290x2293;https://frankfurt.apollo.olxcdn.com:443/v1/files/adyn1rcww59d3-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/us2szh1pmbkq-RO/image;s=1290x2293;https://frankfurt.apollo.olxcdn.com:443/v1/files/9gcizaz89dp91-RO/image;s=1290x2293;https://frankfurt.apollo.olxcdn.com:443/v1/files/k0w5t043xlne-RO/image;s=900x1600,diesel,automatic,Berlina,Audi,A6,olx_jOMcG,2025-09-18T07:29:53.250303
Audi A5 2021 Avariat,21 600 €,21600.0,2020,170 000,https://www.olx.ro/d/oferta/audi-a5-2021-avariat-IDjKEtw.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/8ddn2xey2uau3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/7toqyhhcaer91-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/r3zgj9drr4oj-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/k1xd2fhm9ba61-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/oxf2cccu8c2x2-RO/image;s=1024x768,diesel,automatic,Coupe,Audi,A5,olx_jKEtw,2025-09-18T07:30:08.538107
Schimb Audi A4 B9 Unic Propietar,14 800 €,14800.0,2019,189 045,https://www.olx.ro/d/oferta/schimb-audi-a4-b9-unic-propietar-IDjFY3J.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/yszfk6zh4s2v-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/od75qva1xgt9-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/2ciyug2dcei52-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/gpxjxno002br3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vj6mos0fizsd3-RO/image;s=1000x750,diesel,automatic,Hatchback,Audi,A4,olx_jFY3J,2025-09-18T07:30:22.631511
Audi Q5 2017 2 0 Tfsi,"25 000 €
Prețul e negociabil",25000.0,2017,140 000,https://www.olx.ro/d/oferta/audi-q5-2017-2-0-tfsi-IDjJ2F5.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/k5xace73bu5h2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/mluqke5cbb0y-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/n9q1hz7g6ete2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yw9v6atrq8n-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/bsnvjcyxp6pt3-RO/image;s=750x1000,petrol,automatic,SUV,Audi,Q5,olx_jJ2F5,2025-09-18T07:31:51.903974
Audi A4 2018 2 0 Tdi,"19 800 €
Prețul e negociabil",19800.0,2018,96 000,https://www.olx.ro/d/oferta/audi-a4-2018-2-0-tdi-IDjLW5X.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vf99f843ic672-RO/image;s=1000x752;https://frankfurt.apollo.olxcdn.com:443/v1/files/v31vqlms79tu1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ngia1d505ozc3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/bdg9yxw9twuy2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ldx4j5fpeo4t-RO/image;s=1000x750,diesel,automatic,Berlina,Audi,A4,olx_jLW5X,2025-09-18T07:32:10.528714
Audi Q8 45Tdi S Line,"54 100 €
Prețul e negociabil",54100.0,2021,99 800,https://www.olx.ro/d/oferta/audi-q8-45tdi-s-line-IDjOkGR.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/5kjreqw8tsi6-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/v9m9rnsddcva3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/gp7i97dwhb9s3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/8hesa1rf2rg43-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/fjjv8ej1y12u3-RO/image;s=750x1000,diesel,N/A,SUV,Audi,Q8,olx_jOkGR,2025-09-18T07:32:31.066376
Bmw X5 M50D G02 400 Cp Tva Deductibil Ian 2021,49 000 €,49000.0,2021,52 000,https://www.olx.ro/d/oferta/bmw-x5-m50d-g02-400-cp-tva-deductibil-ian-2021-IDjOPGk.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ffccped4v7hb3-RO/image;s=1000x991;https://frankfurt.apollo.olxcdn.com:443/v1/files/vrv1y5j1m6hl1-RO/image;s=1000x988;https://frankfurt.apollo.olxcdn.com:443/v1/files/xaknw8uxhqk01-RO/image;s=1000x899;https://frankfurt.apollo.olxcdn.com:443/v1/files/j0ajn31h1zv93-RO/image;s=1000x933;https://frankfurt.apollo.olxcdn.com:443/v1/files/i2ch2uqe4gfc-RO/image;s=1000x957,diesel,automatic,SUV,BMW,M5,olx_jOPGk,2025-09-18T07:32:50.877008
Bmw X6M Competition Hybrid,"130 000 €
Prețul e negociabil",130000.0,2024,10 000,https://www.olx.ro/d/oferta/bmw-x6m-competition-hybrid-IDjwX3F.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wp6n09limiqi3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/8a8hc8toyf141-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/dntx0q0ehhgf1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/rpdu58whasxa2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/68qyvsipat4x1-RO/image;s=750x1000,petrol,automatic,SUV,BMW,X6,olx_jwX3F,2025-09-18T07:32:58.388829
De Vanzare Bmw X5 F15,"24 000 €
Prețul e negociabil",24000.0,2018,180 000,https://www.olx.ro/d/oferta/de-vanzare-bmw-x5-f15-IDjOKQp.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ykcvctfo00g8-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/3r61cctdl1n61-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/57irk2huwlni3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/coyak9excscd-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/4s0gmhrz98343-RO/image;s=750x1000,diesel,automatic,SUV,BMW,X5,olx_jOKQp,2025-09-18T07:33:05.828807
Propeietar Bmx X1 F48 Full 2000Cm Diesel Biturbo Full,18 000 €,18000.0,2017,183 000,https://www.olx.ro/d/oferta/propeietar-bmx-x1-f48-full-2000cm-diesel-biturbo-full-IDjrF6P.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/gus01qt2l4dy1-RO/image;s=756x1008;https://frankfurt.apollo.olxcdn.com:443/v1/files/3e5rguj9bl5u-RO/image;s=756x1008;https://frankfurt.apollo.olxcdn.com:443/v1/files/scsmzx0ca8ov1-RO/image;s=756x1008;https://frankfurt.apollo.olxcdn.com:443/v1/files/mbcka2luy7842-RO/image;s=2000x1128;https://frankfurt.apollo.olxcdn.com:443/v1/files/kjnkchvvrpq31-RO/image;s=756x1008,diesel,automatic,Hatchback,Unknown,Unknown,olx_jrF6P,2025-09-18T07:33:11.871653
Bmw X3 Xline Garantie,25 800 €,25800.0,2020,170 000,https://www.olx.ro/d/oferta/bmw-x3-xline-garantie-IDjL6wb.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wln1384omuxp1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/x8pquri1ta07-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/9fcv7mhhjtx33-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/necgtqw5cg3l-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/njbv7padi0w22-RO/image;s=2000x1500,diesel,automatic,SUV,BMW,X3,olx_jL6wb,2025-09-18T07:33:17.723642
Vand Sau Dezmembrez Bmw X5 2019 3 0D,13 999 €,13999.0,2019,100 000,https://www.olx.ro/d/oferta/vand-sau-dezmembrez-bmw-x5-2019-3-0d-IDjOOfy.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/t84cfpvh51yx-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/19k1ksbnct0e2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/5ky8yncvha6p2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/zjbz0sw69in9-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/alxqarko1gn7-RO/image;s=1000x750,diesel,automatic,SUV,BMW,X5,olx_jOOfy,2025-09-18T07:34:04.795040
Bmw M4 Competition,"72 600 €
Prețul e negociabil",72600.0,2024,16 585,https://www.olx.ro/d/oferta/bmw-m4-competition-IDjxy5E.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/855j83zcifp92-RO/image;s=1500x1752;https://frankfurt.apollo.olxcdn.com:443/v1/files/nl0es1tas7qg2-RO/image;s=1500x1752;https://frankfurt.apollo.olxcdn.com:443/v1/files/3u7y4n8xs8qt1-RO/image;s=1500x1752;https://frankfurt.apollo.olxcdn.com:443/v1/files/gzzljljmsk2l-RO/image;s=1500x1752;https://frankfurt.apollo.olxcdn.com:443/v1/files/tbw8q27kn6121-RO/image;s=1500x1752,petrol,automatic,Coupe,BMW,M4,olx_jxy5E,2025-09-18T07:34:11.859414
