titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi E Tron S 55 Advance Garantie 408 Cp 45Cpboost Variante,30 000 €,30000.0,2020,81 123,https://www.olx.ro/d/oferta/audi-e-tron-s-55-advance-garantie-408-cp-45cpboost-variante-IDj0c3e.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/65ao24nqezd11-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/k5e333lr9sla-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/12f18584xcg93-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/nf0zjjerp3q8-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/8bgkahn0k7b6-RO/image;s=563x1000,electric,automatic,SUV,Audi,Unknown,olx_j0c3e,2025-09-15T15:59:19.470927
Audi A8 Hibrid Full,34 700 €,34700.0,2018,173 000,https://www.olx.ro/d/oferta/audi-a8-hibrid-full-IDjMP8p.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/07d8edh4h4fd2-RO/image;s=1496x1496;https://frankfurt.apollo.olxcdn.com:443/v1/files/v5widilfn1ko-RO/image;s=1496x1496;https://frankfurt.apollo.olxcdn.com:443/v1/files/0c3jvm3qqnm02-RO/image;s=1496x1496;https://frankfurt.apollo.olxcdn.com:443/v1/files/elbc4pyhjy3t1-RO/image;s=1496x1496;https://frankfurt.apollo.olxcdn.com:443/v1/files/2otl287jm5rp-RO/image;s=1496x1496,hybrid,automatic,Berlina,Audi,A8,olx_jMP8p,2025-09-15T15:59:33.584334
Audi A6 C8 Matrix Hd,29 300 €,29300.0,2020,125 000,https://www.olx.ro/d/oferta/audi-a6-c8-matrix-hd-IDjjXUY.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/xjg56eavl1bt1-RO/image;s=1496x1265;https://frankfurt.apollo.olxcdn.com:443/v1/files/nms502yc34fk3-RO/image;s=1465x1040;https://frankfurt.apollo.olxcdn.com:443/v1/files/l2a5czi3w8zb1-RO/image;s=1496x1230;https://frankfurt.apollo.olxcdn.com:443/v1/files/ky62s5aaf4sl3-RO/image;s=1193x901;https://frankfurt.apollo.olxcdn.com:443/v1/files/x24rm3y6imsx1-RO/image;s=1496x1496,diesel,automatic,Berlina,Audi,A6,olx_jjXUY,2025-09-15T15:59:49.485377
Audi Q7 Sline Plus 2021 Mild Hybrid 55Tfsi 340Cppano7Locurivariante,42 500 €,42500.0,2021,90 000,https://www.olx.ro/d/oferta/audi-q7-sline-plus-2021-mild-hybrid-55tfsi-340cppano7locurivariante-IDjJmv3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2u2bozh67yiw1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/eonecco82q983-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/5g1qmj23setg-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/62rgvhdzj90j1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/cisbzscgubez1-RO/image;s=1000x750,petrol,automatic,SUV,Audi,Q7,olx_jJmv3,2025-09-15T16:00:04.924641
Audi Rs5 Facelift 2021 Accept Variante,57 900 €,57900.0,2021,120 000,https://www.olx.ro/d/oferta/audi-rs5-facelift-2021-accept-variante-IDjJO7y.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/c4wqvockpz773-RO/image;s=1000x579;https://frankfurt.apollo.olxcdn.com:443/v1/files/yssjfuvbk59o2-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/heyq3hsp0tf73-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/2osxe4bkyk7a3-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/dxkqdejef0w52-RO/image;s=1000x574,petrol,automatic,Coupe,Audi,RS5,olx_jJO7y,2025-09-15T16:01:57.196179
Bmw X3 F25 2017 2 0D 190 Cp,20 000 €,20000.0,2017,193 000,https://www.olx.ro/d/oferta/bmw-x3-f25-2017-2-0d-190-cp-IDjNm9a.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/4pk25za239q01-RO/image;s=1000x719;https://frankfurt.apollo.olxcdn.com:443/v1/files/luyj0izt6xu01-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/kay040hwuld42-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/danhzzn2cxvr1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/sr2n0bvz1rej2-RO/image;s=1000x657,diesel,automatic,SUV,BMW,X3,olx_jNm9a,2025-09-15T16:03:38.716964
Bmw Seria 5 G30 525 231 Cai,"25 500 €
Prețul e negociabil",25500.0,2018,130 000,https://www.olx.ro/d/oferta/bmw-seria-5-g30-525-231-cai-IDjCAXu.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7sjcns8diy8n1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/dngnyalbdrm51-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/0i4p4ubbup7z1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/8i7nluch9rxw1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/nuqefjuctsf-RO/image;s=750x1000,diesel,automatic,"//schema.org/UsedCondition""}}",BMW,Seria 5,olx_jCAXu,2025-09-15T16:03:45.694115
Bmw X3 Drive 2 0 I Km 76 000,"23 800 €
Prețul e negociabil",23800.0,2018,76 000,https://www.olx.ro/d/oferta/bmw-x3-drive-2-0-i-km-76-000-IDjIgEd.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/w7g0ncmjcwmn3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/zhyh9vv00or61-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/m2aydq0f9hs83-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/5q8xs63bsxx4-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/n89du8kfh0zx-RO/image;s=1500x2000,petrol,automatic,SUV,BMW,X3,olx_jIgEd,2025-09-15T16:03:54.144146
Bmw X5 2021 3 0 Hibrid 333 Cp 74 000 Km,55 000 €,55000.0,2021,74 000,https://www.olx.ro/d/oferta/bmw-x5-2021-3-0-hibrid-333-cp-74-000-km-IDjJ1fc.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1i0iav9ba4mk2-RO/image;s=1632x2448;https://frankfurt.apollo.olxcdn.com:443/v1/files/f18onnfxf26n3-RO/image;s=3264x4896;https://frankfurt.apollo.olxcdn.com:443/v1/files/x431i8hcket83-RO/image;s=2000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/00qoyw399k0v1-RO/image;s=1333x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/qs05jobifwf21-RO/image;s=1333x2000,petrol,automatic,SUV,BMW,X5,olx_jJ1fc,2025-09-15T16:04:17.896451
Bmw X6M 575 Cai,"33 000 €
Prețul e negociabil",33000.0,2017,179 000,https://www.olx.ro/d/oferta/bmw-x6m-575-cai-IDiyd6g.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/f8nhjyeqgc053-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/tmb7eeib1gjx-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/mm3yolxcaono3-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/68a1gfw4h19f3-RO/image;s=890x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/0dukoaekcoyz1-RO/image;s=890x650,petrol,automatic,SUV,BMW,X6,olx_iyd6g,2025-09-15T16:04:32.956497
