titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A4 2023 Avariat,16 300 €,16300.0,2023,180 000,https://www.olx.ro/d/oferta/audi-a4-2023-avariat-IDjOG9m.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/dsi6h98vuln31-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/p9rd2ijpjfnt3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/5fv9u5d6ltoc2-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/xehvud9e7wif2-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/a0qc40ojl2eb3-RO/image;s=1024x768,diesel,automatic,Berlina,Audi,A4,olx_jOG9m,2025-09-17T08:15:45.406968
Audi Q8 Impecabil,49 000 €,49000.0,2019,150 000,https://www.olx.ro/d/oferta/audi-q8-impecabil-IDjBjqm.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/beamobdd46oz-RO/image;s=1600x1466;https://frankfurt.apollo.olxcdn.com:443/v1/files/h1w0369wjanj3-RO/image;s=1600x1095;https://frankfurt.apollo.olxcdn.com:443/v1/files/m4zfjhx0wyap2-RO/image;s=1600x1518;https://frankfurt.apollo.olxcdn.com:443/v1/files/odapcopwv8r32-RO/image;s=1600x1040;https://frankfurt.apollo.olxcdn.com:443/v1/files/1pbyfvaq3u731-RO/image;s=1600x1200,diesel,automatic,Coupe,Audi,Q8,olx_jBjqm,2025-09-17T08:16:19.371560
Audi Q3 Quattro S Tronic 2017 Unic Proprietar,"15 400 €
Prețul e negociabil",15400.0,2017,189 000,https://www.olx.ro/d/oferta/audi-q3-quattro-s-tronic-2017-unic-proprietar-IDjyNpB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/hl6l47klqebx1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/pw2osuewzjel-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/yj62e5a32vir-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/9uy8o7ahs1h71-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/j44rlo3k7d3f2-RO/image;s=1000x750,diesel,automatic,SUV,Audi,Q3,olx_jyNpB,2025-09-17T08:16:27.054519
Audi A5 Quattro 252 Cp S Tronic 2019,18 500 €,18500.0,2019,166 000,https://www.olx.ro/d/oferta/audi-a5-quattro-252-cp-s-tronic-2019-IDjIgjn.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/s11ujxa4enr53-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ja6vftaebr5d-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/f3bezm5gpex2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/t75aja3ybdfl1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/v3f1h50dugtk2-RO/image;s=750x1000,petrol,automatic,Berlina,Audi,A5,olx_jIgjn,2025-09-17T08:16:41.486174
Audi A1 2018 Avariat Automat Masina Porneste,3 400 €,3400.0,2018,70 000,https://www.olx.ro/d/oferta/audi-a1-2018-avariat-automat-masina-porneste-IDjLKxM.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/i59wk56h9jjb2-RO/image;s=946x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/4wocn2qamm0p1-RO/image;s=946x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/7qhwl1cwki3j1-RO/image;s=946x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/7adubjvhu8or2-RO/image;s=946x2048;https://frankfurt.apollo.olxcdn.com:443/v1/files/hi4khh99x29i-RO/image;s=946x2048,petrol,manual,Hatchback,Audi,A1,olx_jLKxM,2025-09-17T08:16:48.595177
Audi A6 S Line 2019,36 300 €,36300.0,2019,170 000,https://www.olx.ro/d/oferta/audi-a6-s-line-2019-IDjxSG8.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/o1vxstdb4ri13-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/3sxgr2jxi23s2-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/wj8qpw9anhm1-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/1yw21mj47yu22-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/pr8wznp1d98x2-RO/image;s=1600x1200,diesel,N/A,Berlina,Audi,A6,olx_jxSG8,2025-09-17T08:16:54.641731
Vand Audi A8 2017 Impecabil,32 000 €,32000.0,2017,130 000,https://www.olx.ro/d/oferta/vand-audi-a8-2017-impecabil-IDjDY5X.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/nj5r2uhnodfn3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/blmmwt24jehj-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/sggla9iyf9yg-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/hzdfttoq6tpy1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/svuzy94umt2m3-RO/image;s=750x1000,diesel,automatic,Berlina,Audi,A8,olx_jDY5X,2025-09-17T08:17:24.063511
2017 Audi A8 D4 Facelift 3 0 V6 Tdi 262 Cp,"27 900 €
Prețul e negociabil",27900.0,2017,132 300,https://www.olx.ro/d/oferta/2017-audi-a8-d4-facelift-3-0-v6-tdi-262-cp-IDjOCsK.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/x3ku1wz31292-RO/image;s=1147x1227;https://frankfurt.apollo.olxcdn.com:443/v1/files/82r2y0h822uq2-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/tl9zbnix8vke3-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/0wb40nt4cy47-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/6zkvqahd3wsr1-RO/image;s=1600x1200,diesel,N/A,Berlina,Audi,A8,olx_jOCsK,2025-09-17T08:17:35.913362
Audi A5 Quattro 252 Cp S Tronic 2019,18 500 €,18500.0,2019,166 000,https://www.olx.ro/d/oferta/audi-a5-quattro-252-cp-s-tronic-2019-IDjIgjn.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/s11ujxa4enr53-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ja6vftaebr5d-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/f3bezm5gpex2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/t75aja3ybdfl1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/v3f1h50dugtk2-RO/image;s=750x1000,petrol,automatic,Berlina,Audi,A5,olx_jIgjn,2025-09-17T08:17:48.987557
Audi A7 50 Tfsie Hybrid,"40 000 €
Prețul e negociabil",40000.0,2021,107 000,https://www.olx.ro/d/oferta/audi-a7-50-tfsie-hybrid-IDjI0AH.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/nnttbtkt33d53-RO/image;s=1600x1062;https://frankfurt.apollo.olxcdn.com:443/v1/files/kigdtzuydnye3-RO/image;s=1600x1062;https://frankfurt.apollo.olxcdn.com:443/v1/files/keapoj0k7vv4-RO/image;s=1600x1062;https://frankfurt.apollo.olxcdn.com:443/v1/files/4n2wo22kbj6k2-RO/image;s=1600x1062;https://frankfurt.apollo.olxcdn.com:443/v1/files/zfycorp5cgcj1-RO/image;s=1600x1062,hybrid,automatic,Hatchback,Audi,A7,olx_jI0AH,2025-09-17T08:18:03.714290
