titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A4 35 Tfsi Mild Hybrid 2024 15 000 Km,"29 900 €
Prețul e negociabil",29900.0,2024,15 000,https://www.olx.ro/d/oferta/audi-a4-35-tfsi-mild-hybrid-2024-15-000-km-IDjMSMy.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/tyz84cs9ekel1-RO/image;s=1000x722;https://frankfurt.apollo.olxcdn.com:443/v1/files/5nqedtqowwi22-RO/image;s=1000x721;https://frankfurt.apollo.olxcdn.com:443/v1/files/r83f0kr67b3h-RO/image;s=1000x736;https://frankfurt.apollo.olxcdn.com:443/v1/files/hdoxlagdbl1h3-RO/image;s=1000x728;https://frankfurt.apollo.olxcdn.com:443/v1/files/jgbov3mish4y1-RO/image;s=1000x980,petrol,N/A,Berlina,Audi,A4,olx_jMSMy,2025-09-20T09:33:00.841919
Vand Audi S6 2022 Motor 3 0 344 Cp,46 000 €,46000.0,2022,61 377,https://www.olx.ro/d/oferta/vand-audi-s6-2022-motor-3-0-344-cp-IDjHK4V.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/yj4vnm1gddg91-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ifk53p377knb2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/wnjzpuss94gh2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/191af2avom052-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/33pmayexxyxq1-RO/image;s=1000x750,diesel,automatic,Break,Audi,S6,olx_jHK4V,2025-09-20T09:33:07.232288
Audi A4 2023 Avariat,15 999 €,15999.0,2023,180 000,https://www.olx.ro/d/oferta/audi-a4-2023-avariat-IDjOG9m.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/dsi6h98vuln31-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/p9rd2ijpjfnt3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/5fv9u5d6ltoc2-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/xehvud9e7wif2-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/a0qc40ojl2eb3-RO/image;s=1024x768,diesel,automatic,Berlina,Audi,A4,olx_jOG9m,2025-09-20T09:33:14.340029
Audi A5 2021 Avariat,20 999 €,20999.0,2020,170 000,https://www.olx.ro/d/oferta/audi-a5-2021-avariat-IDjKEtw.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/8ddn2xey2uau3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/7toqyhhcaer91-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/r3zgj9drr4oj-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/k1xd2fhm9ba61-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/oxf2cccu8c2x2-RO/image;s=1024x768,diesel,automatic,Coupe,Audi,A5,olx_jKEtw,2025-09-20T09:33:20.105019
Autoturism Audi Q3,"15 250 €
Prețul e negociabil",15250.0,2018,78 920,https://www.olx.ro/d/oferta/autoturism-audi-q3-IDjOwIC.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/fb2hbmw2kbsv1-RO/image;s=546x1152;https://frankfurt.apollo.olxcdn.com:443/v1/files/x6c5ig1aycpk2-RO/image;s=546x1152;https://frankfurt.apollo.olxcdn.com:443/v1/files/mx0kvpsqc8bb-RO/image;s=1152x546;https://frankfurt.apollo.olxcdn.com:443/v1/files/2fvcad74dla02-RO/image;s=546x1152;https://frankfurt.apollo.olxcdn.com:443/v1/files/slj4tb18nlra2-RO/image;s=546x1152,petrol,automatic,SUV,Audi,Q3,olx_jOwIC,2025-09-20T09:33:27.289287
Audi A8 55 Tfsi Quattro,45 000 €,45000.0,2018,184 000,https://www.olx.ro/d/oferta/audi-a8-55-tfsi-quattro-IDjKdxx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/kenvuy8irv4m-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/312ci566h6kf2-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/xgdsdcuw2gaj2-RO/image;s=1000x664;https://frankfurt.apollo.olxcdn.com:443/v1/files/hvsxeeiwgo5b2-RO/image;s=1000x663;https://frankfurt.apollo.olxcdn.com:443/v1/files/argwd50z9n8w-RO/image;s=1000x664,electric,N/A,Berlina,Audi,A8,olx_jKdxx,2025-09-20T09:33:34.789073
Audi A4 2020 S Line Automat S Tronic 2 0 Tdi Euro 6,"19 499 €
Prețul e negociabil",19499.0,2020,199 000,https://www.olx.ro/d/oferta/audi-a4-2020-s-line-automat-s-tronic-2-0-tdi-euro-6-IDjO1Q0.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1iwb5s3j0xop3-RO/image;s=3725x1930;https://frankfurt.apollo.olxcdn.com:443/v1/files/xnvk2djzpiws1-RO/image;s=2000x1478;https://frankfurt.apollo.olxcdn.com:443/v1/files/h2llyuwzzm79-RO/image;s=3747x1827;https://frankfurt.apollo.olxcdn.com:443/v1/files/2ewytmkhkuh82-RO/image;s=3612x1873;https://frankfurt.apollo.olxcdn.com:443/v1/files/ivxag2u173tt2-RO/image;s=3540x1723,diesel,automatic,Break,Audi,A4,olx_jO1Q0,2025-09-20T09:33:40.636963
Audi S3 8V Cu Magnetic Ride 2018 2 0 Tfsi 310Cp 89Kkm Tva Deductibil,"33 500 €
Prețul e negociabil",33500.0,2018,89 000,https://www.olx.ro/d/oferta/audi-s3-8v-cu-magnetic-ride-2018-2-0-tfsi-310cp-89kkm-tva-deductibil-IDjJEvW.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/panrhvbxkmm42-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ir94w2ui1wyk1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/lztqwzsi1hzo1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/cym5xfrgckor1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/99avdjfuebc3-RO/image;s=750x1000,petrol,automatic,Hatchback,Audi,S3,olx_jJEvW,2025-09-20T09:33:48.013118
Audi A8 60 Tfsi Quattro Long An 2022,"19 100 €
Prețul e negociabil",19100.0,2022,116 000,https://www.olx.ro/d/oferta/audi-a8-60-tfsi-quattro-long-an-2022-IDjMIOa.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/aagjg5nibjgc1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/mlbtzha204ql-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/f5lctb7roueb2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/b8wvoeml7wkg3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/j7868ush2qdv-RO/image;s=1000x750,N/A,automatic,Berlina,Audi,A8,olx_jMIOa,2025-09-20T09:33:55.389906
Audi Q7 5 0 Tdi Quattro Sline Mild Hibrid,"48 000 €
Prețul e negociabil",48000.0,2020,95 300,https://www.olx.ro/d/oferta/audi-q7-5-0-tdi-quattro-sline-mild-hibrid-IDjMX87.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/10k06qwgas7k-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/gye505xa6nh7-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/6uj9zdjdzal83-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/xnptuyjbno2w2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/9gk71acq03o43-RO/image;s=1000x750,hybrid,automatic,SUV,Audi,Q7,olx_jMX87,2025-09-20T09:34:03.166022
