titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi Q8 Diesel Mild Hybrid,"47 900 €
Prețul e negociabil",47900.0,2019,175 000,https://www.olx.ro/d/oferta/audi-q8-diesel-mild-hybrid-IDjIHLX.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/47b52qryq3ns-RO/image;s=1080x810;https://frankfurt.apollo.olxcdn.com:443/v1/files/lmqeya2d8wjh2-RO/image;s=1080x1440;https://frankfurt.apollo.olxcdn.com:443/v1/files/3j6ixxlc1wvj3-RO/image;s=1080x810;https://frankfurt.apollo.olxcdn.com:443/v1/files/un3foheveoog1-RO/image;s=1080x810;https://frankfurt.apollo.olxcdn.com:443/v1/files/tmlsbq4r0sy41-RO/image;s=1080x1440,diesel,automatic,SUV,Audi,Q8,olx_jIHLX,2025-09-17T13:34:16.922430
Audi Sq5 2018 3 0Tfsi 354Cp,"31 900 €
Prețul e negociabil",31900.0,2018,122 000,https://www.olx.ro/d/oferta/audi-sq5-2018-3-0tfsi-354cp-IDjc72j.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1fo4x00ebsbf2-RO/image;s=1000x601;https://frankfurt.apollo.olxcdn.com:443/v1/files/27kyqsu1sbz31-RO/image;s=1000x693;https://frankfurt.apollo.olxcdn.com:443/v1/files/dh24qe0qy2ap-RO/image;s=1000x479;https://frankfurt.apollo.olxcdn.com:443/v1/files/io4n1s93td521-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/oaxzgqs99ogy1-RO/image;s=1000x755,petrol,automatic,SUV,Audi,Q5,olx_jc72j,2025-09-17T13:34:23.790693
Audi S5 3 0 347Cp Mild Hibrid,"33 500 €
Prețul e negociabil",33500.0,2020,191 000,https://www.olx.ro/d/oferta/audi-s5-3-0-347cp-mild-hibrid-IDjHhm4.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/l5y1tsowsl732-RO/image;s=1000x636;https://frankfurt.apollo.olxcdn.com:443/v1/files/sualg2yd18vq-RO/image;s=1000x550;https://frankfurt.apollo.olxcdn.com:443/v1/files/lhfff41r2uy2-RO/image;s=1000x504;https://frankfurt.apollo.olxcdn.com:443/v1/files/ntwp49n070pk2-RO/image;s=1000x555;https://frankfurt.apollo.olxcdn.com:443/v1/files/9t91cc3ie36k-RO/image;s=1000x640,hybrid,automatic,Berlina,Audi,S5,olx_jHhm4,2025-09-17T13:34:52.277040
Audi A6 2 0Tdi Mild Hybrid Quattro,31 000 €,31000.0,2019,128 000,https://www.olx.ro/d/oferta/audi-a6-2-0tdi-mild-hybrid-quattro-IDjMXyD.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/h0o13a1fa7cm2-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/fjrjrj12at6q-RO/image;s=4032x3024;https://frankfurt.apollo.olxcdn.com:443/v1/files/dxuwmdd5g8kh1-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/ft0ggj3nrg102-RO/image;s=3024x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/dmvudrt1s6ao-RO/image;s=4032x3024,diesel,automatic,Berlina,Audi,A6,olx_jMXyD,2025-09-17T13:34:58.727821
Audi A4 3X S Line 2017 Euro 6,21 000 €,21000.0,2017,166 240,https://www.olx.ro/d/oferta/audi-a4-3x-s-line-2017-euro-6-IDjyciT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1o8kj6hog5g1-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/c6r59shlcnla-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/6peov2w4wm2t3-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/aab0tv50dsj51-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/xgjx3mszo9gm2-RO/image;s=1000x750,diesel,N/A,Berlina,Audi,A4,olx_jyciT,2025-09-17T13:35:13.417170
Audi A4 2018 2 0 Tdi,"19 900 €
Prețul e negociabil",19900.0,2018,96 000,https://www.olx.ro/d/oferta/audi-a4-2018-2-0-tdi-IDjLW5X.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/vf99f843ic672-RO/image;s=1000x752;https://frankfurt.apollo.olxcdn.com:443/v1/files/v31vqlms79tu1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ngia1d505ozc3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/bdg9yxw9twuy2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ldx4j5fpeo4t-RO/image;s=1000x750,diesel,automatic,Berlina,Audi,A4,olx_jLW5X,2025-09-17T13:35:35.257254
Audi A5 2021 2 0 Tdi 204 Cp Mild Hybrid Sline Black Matrix,28 999 €,28999.0,2021,127 800,https://www.olx.ro/d/oferta/audi-a5-2021-2-0-tdi-204-cp-mild-hybrid-sline-black-matrix-IDjNTqA.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/v9f8uxb99ply-RO/image;s=1000x783;https://frankfurt.apollo.olxcdn.com:443/v1/files/2xkfjjn702fp3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/zcig1kc50ygv2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ozd8baig1hbh-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/526s5seve9y11-RO/image;s=1000x750,diesel,automatic,Coupe,Audi,A5,olx_jNTqA,2025-09-17T13:35:50.386238
Audi A6 C7 Ultra Sline,"21 000 €
Prețul e negociabil",21000.0,2017,130 000,https://www.olx.ro/d/oferta/audi-a6-c7-ultra-sline-IDjKlVx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/3fxomc4mcp67-RO/image;s=462x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/7zxb728pvvey-RO/image;s=462x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/1xhfrxskl2ma2-RO/image;s=462x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/9d5e4og7xnog2-RO/image;s=462x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/14qax0el2oti1-RO/image;s=750x1000,diesel,automatic,Berlina,Audi,A6,olx_jKlVx,2025-09-17T13:36:04.868255
Audi S3 Facelift 2 0Tfsi Vand Urgent Fara Schimb,"21 000 €
Prețul e negociabil",21000.0,2017,85 000,https://www.olx.ro/d/oferta/audi-s3-facelift-2-0tfsi-vand-urgent-fara-schimb-IDjl0SI.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/95n2keb9wl762-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/dwb73h7ce62i-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/1mwke9s27ppl-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ohdsbg00i79k2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/mf1qn5kooyw52-RO/image;s=750x1000,petrol,automatic,Berlina,Audi,S3,olx_jl0SI,2025-09-17T13:36:11.243539
Audi A6 50 Tdi 286Cp Mild Hybrid 135 000Km,27 500 €,27500.0,2019,135 000,https://www.olx.ro/d/oferta/audi-a6-50-tdi-286cp-mild-hybrid-135-000km-IDjNgO4.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1hr7mpygozgp2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ij61us75mcxs-RO/image;s=1000x699;https://frankfurt.apollo.olxcdn.com:443/v1/files/dzswkyydjb212-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8izwl8ngtrdr2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/e834ml31b7a01-RO/image;s=1000x750,diesel,automatic,Berlina,Audi,A6,olx_jNgO4,2025-09-17T13:37:35.820886
