titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A4 35 Tfsi Garantie Producator 11 2025,22 490 €,22490.0,2021,100 000,N/A,https://www.olx.ro/d/oferta/audi-a4-35-tfsi-garantie-producator-11-2025-IDjhLxr.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/6w2p8o6m2t203-RO/image;s=562x999;https://frankfurt.apollo.olxcdn.com:443/v1/files/0y6woi1dw2ni1-RO/image;s=562x999;https://frankfurt.apollo.olxcdn.com:443/v1/files/4rznbip8ob0e3-RO/image;s=505x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/5xbq1ot0sufj3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/2hux5zbb04q73-RO/image;s=1000x750,petrol,automatic,Hatchback,Audi,A4,olx_jhLxr,2025-09-08T13:29:09.283405
Bmw 225Xe Automat Luxury Hybrid Benzina 2018,18 300 €,18300.0,2018,110 000,N/A,https://www.olx.ro/d/oferta/bmw-225xe-automat-luxury-hybrid-benzina-2018-IDjMLgq.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/6xfll90xnuoe2-RO/image;s=2040x1530;https://frankfurt.apollo.olxcdn.com:443/v1/files/elizso7vf58o1-RO/image;s=2040x1530;https://frankfurt.apollo.olxcdn.com:443/v1/files/3vvck535f7xk-RO/image;s=2040x1530;https://frankfurt.apollo.olxcdn.com:443/v1/files/p7i3ov5yhx5c3-RO/image;s=1530x2040;https://frankfurt.apollo.olxcdn.com:443/v1/files/8pyj8e96gmx62-RO/image;s=2040x1530,N/A,automatic,Monovolum,BMW,Unknown,olx_jMLgq,2025-09-08T13:29:14.392880
Bmw X3 Drive 2 0 I Km 76 000,25 200 €,25200.0,2018,76 000,N/A,https://www.olx.ro/d/oferta/bmw-x3-drive-2-0-i-km-76-000-IDjIgEd.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/w7g0ncmjcwmn3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/zhyh9vv00or61-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/m2aydq0f9hs83-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/5q8xs63bsxx4-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/n89du8kfh0zx-RO/image;s=1500x2000,petrol,automatic,SUV,BMW,X3,olx_jIgEd,2025-09-08T13:29:19.094471
Vind Bmw X3 2 0I X Drive Luxury Line,33 490 €,33490.0,2020,87 500,N/A,https://www.olx.ro/d/oferta/vind-bmw-x3-2-0i-x-drive-luxury-line-IDjLFFg.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/br6nuxa7w4rq2-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/4t0ik7q89bn13-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/f7zrscdh6vnk-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/0lk7j3e27ihp-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/zdrrspcpg1xl1-RO/image;s=1500x2000,petrol,automatic,SUV,BMW,X3,olx_jLFFg,2025-09-08T13:29:23.391927
Mercedes Benz C180 1 6 Benzina 156 Cp Automata,18 000 €,18000.0,2018,91 000,N/A,https://www.olx.ro/d/oferta/mercedes-benz-c180-1-6-benzina-156-cp-automata-IDjH3hh.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/3stprenc9fn13-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/zbmgvdf1ngjh1-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/5tv58dj05egg3-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/k0x9sswemcz51-RO/image;s=2048x1536;https://frankfurt.apollo.olxcdn.com:443/v1/files/k9or6slgvlc9-RO/image;s=2048x1536,petrol,automatic,Berlina,Unknown,Unknown,olx_jH3hh,2025-09-08T13:29:26.984542
Vand Mercedes C200D Automata 9 Trepte An 2020 160Cp,17 500 €,17500.0,2020,160 000,N/A,https://www.olx.ro/d/oferta/vand-mercedes-c200d-automata-9-trepte-an-2020-160cp-IDjL9aK.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/odx7bhemhsce3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/c8ixtbp6agbp-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/scobli2rbwoq2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/d9kx3iwwrduz2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/expsi77a2t213-RO/image;s=2000x1500,diesel,automatic,Break,Unknown,Unknown,olx_jL9aK,2025-09-08T13:29:31.000534
Mercedes Benz 300E Glc 4 Matic Hibrid Plug In,48 800 €,48800.0,2022,54 000,N/A,https://www.olx.ro/d/oferta/mercedes-benz-300e-glc-4-matic-hibrid-plug-in-IDjLrUn.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/btm2ji7wx1682-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/rqi8xg81xwil3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ouwp8khcttjb1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ycbq8tibaw411-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/lzsrgmflmvqk2-RO/image;s=750x1000,N/A,automatic,SUV,Unknown,Unknown,olx_jLrUn,2025-09-08T13:29:35.524278
