titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Vand Mercedes Gla 4Matic Inca In Garantie Impecabil,"31 700 €
Prețul e negociabil",31700.0,2022,52 091,https://www.olx.ro/d/oferta/vand-mercedes-gla-4matic-inca-in-garantie-impecabil-IDjKmQq.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/z63yxfgxa6qm1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/b8yblv0daqhb-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vtut0h9pyisc3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/p9t9sjqmbc2y-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/e3vyy2s7luc91-RO/image;s=1000x750,diesel,automatic,Hatchback,Unknown,Unknown,olx_jKmQq,2025-09-16T07:05:16.645418
2024 Mercedes Benz S 350 Amg D 4Matic L 9G Tronic,"97 500 €
Prețul e negociabil",97500.0,2024,22 345,https://www.olx.ro/d/oferta/2024-mercedes-benz-s-350-amg-d-4matic-l-9g-tronic-IDj3ZYf.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/57xbs94m6wy9-RO/image;s=1600x1068;https://frankfurt.apollo.olxcdn.com:443/v1/files/3uwruvzyliin3-RO/image;s=1600x1068;https://frankfurt.apollo.olxcdn.com:443/v1/files/qzefd6rd55zq3-RO/image;s=1600x1068;https://frankfurt.apollo.olxcdn.com:443/v1/files/y7llji6eweud2-RO/image;s=1600x1068;https://frankfurt.apollo.olxcdn.com:443/v1/files/soy45hypa1px2-RO/image;s=1600x1068,diesel,automatic,Berlina,MG,Unknown,olx_j3ZYf,2025-09-16T07:05:52.627015
Mercedes Glc 350D Amg Coupe Suspensie Reglabila Aer Full Dotari,29 990 €,29990.0,2018,175 000,https://www.olx.ro/d/oferta/mercedes-glc-350d-amg-coupe-suspensie-reglabila-aer-full-dotari-IDj5hBi.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/rg7nyr2gjsmy2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/hx8dz0lgjztt2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/36gexqdgdco72-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/t8jipwsm1egt-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/e6zc8ji22qg92-RO/image;s=1000x750,diesel,automatic,Coupe,MG,Unknown,olx_j5hBi,2025-09-16T07:05:59.464833
Mercedes Amg Gt 43 2019,"65 500 €
Prețul e negociabil",65500.0,2019,157 000,https://www.olx.ro/d/oferta/mercedes-amg-gt-43-2019-IDfOHAU.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/93280q1zrnko1-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/32qqc12818xx-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/qg4gugj5ia8n3-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/slkk9okdgzuf-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/ravyujrwd3ju3-RO/image;s=1024x768,petrol,automatic,Coupe,MG,Unknown,olx_fOHAU,2025-09-16T07:06:05.644415
Mercedes Benz Gle 350 2020,44 999 €,44999.0,2020,59 000,https://www.olx.ro/d/oferta/mercedes-benz-gle-350-2020-IDjH4Hf.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/qvmfw7tsfkxm2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/zjamm65tmumy1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/2uobmbk2ilpn2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/u8x1yi1s875r2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/x50p8p5digs03-RO/image;s=750x1000,petrol,automatic,SUV,Unknown,Unknown,olx_jH4Hf,2025-09-16T07:06:19.880819
Mercedes C400 Coupe 4Matic,"34 500 €
Prețul e negociabil",34500.0,2019,110 600,https://www.olx.ro/d/oferta/mercedes-c400-coupe-4matic-IDjIuYB.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/rft2t85hmswu3-RO/image;s=4096x3072;https://frankfurt.apollo.olxcdn.com:443/v1/files/4chyjl80btzz1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/7pbfwmr94bc61-RO/image;s=4096x3072;https://frankfurt.apollo.olxcdn.com:443/v1/files/kfa3bqlo3oc8-RO/image;s=2000x2667;https://frankfurt.apollo.olxcdn.com:443/v1/files/pc8fqe6e6lu73-RO/image;s=2000x1500,petrol,automatic,Coupe,Unknown,Unknown,olx_jIuYB,2025-09-16T07:06:42.076445
Mercedes Benz A Class,"21 400 €
Prețul e negociabil",21400.0,2018,108 000,https://www.olx.ro/d/oferta/mercedes-benz-a-class-IDjBGal.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/p6h0d3d0evdb1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/25zdxy2zb7yf3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xzfx3wuh00603-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/vietz77emmb6-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/om5xvmmmv40r3-RO/image;s=750x1000,diesel,automatic,Hatchback,Unknown,Unknown,olx_jBGal,2025-09-16T07:06:49.341266
Mercedes S450 Hybrid 3 0 367 Cp 4Matic An 2022 Ireprosabil,71 500 €,71500.0,2022,168 000,https://www.olx.ro/d/oferta/mercedes-s450-hybrid-3-0-367-cp-4matic-an-2022-ireprosabil-IDjOtn6.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/nawa13jwzsej1-RO/image;s=1540x1190;https://frankfurt.apollo.olxcdn.com:443/v1/files/0vhf1b0vb4gu-RO/image;s=1574x1182;https://frankfurt.apollo.olxcdn.com:443/v1/files/bakixt0tehkv1-RO/image;s=1554x1078;https://frankfurt.apollo.olxcdn.com:443/v1/files/dxj35y05e5s22-RO/image;s=1548x1086;https://frankfurt.apollo.olxcdn.com:443/v1/files/pq5pqfr5e9ku-RO/image;s=1600x972,hybrid,automatic,Berlina,Unknown,Unknown,olx_jOtn6,2025-09-16T07:06:56.967620
Mercedes A 200D,"32 500 €
Prețul e negociabil",32500.0,2021,33 000,https://www.olx.ro/d/oferta/mercedes-a-200d-IDjM5m3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/afm1wbcxpuvv3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vgcavsx9ngig3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/6m40t7zfigal2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/62vgby9by2f32-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/irb33j9u4spa1-RO/image;s=1000x750,diesel,automatic,Berlina,Unknown,Unknown,olx_jM5m3,2025-09-16T07:07:09.664671
Vand Mercedes Gla 4Matic Inca In Garantie Impecabil,"31 700 €
Prețul e negociabil",31700.0,2022,52 091,https://www.olx.ro/d/oferta/vand-mercedes-gla-4matic-inca-in-garantie-impecabil-IDjKmQq.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/z63yxfgxa6qm1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/b8yblv0daqhb-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vtut0h9pyisc3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/p9t9sjqmbc2y-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/e3vyy2s7luc91-RO/image;s=1000x750,diesel,automatic,Hatchback,Unknown,Unknown,olx_jKmQq,2025-09-16T07:08:05.689817
